Rxn name	Formula	Gene-reaction association	LB	UB	Objective
BIOMASS_SCO	75.79 atp_c + carb_c + cellwall_c + dna_c + 75.79 h2o_c + lipid_c + misc_c + protein_c + rna_c  -> 75.79 adp_c + 75.79 h_c + 75.79 pi_c 		  0.00	   Inf	  1.00
BIOMASS_SCO_tRNA	71.7144 atp_c + carb_c + cellwall_c + dna_c + 71.7144 h2o_c + lipid_c + misc_c + protein_tRNA_c + rna_c  -> 71.7144 adp_c + 71.7144 h_c + 71.7144 pi_c 		  0.00	   Inf	  0.00
CARBOHYDRATE_PSEUDO	0.15419 glycogen_c + 0.087643 tre_c  -> carb_c 		  0.00	   Inf	  0.00
CELL_WALL_PSEUDO	0.003536 gtca1_c + 0.003536 gtca2_c + 0.003536 gtca3_c + 0.02984 murein4p4p_c + 0.030136 murein4px4p_c + 0.083227 uacgam_c + 0.16645 udpgal_c  -> cellwall_c + 0.24968 h_c + 0.24968 udp_c 		  0.00	   Inf	  0.00
DNA_PSEUDO	0.016297 datp_c + 0.042326 dctp_c + 0.016297 dgtp_c + 0.042326 dttp_c  -> dna_c + 0.11725 h_c + 0.11725 ppi_c 		  0.00	   Inf	  0.00
LIPID_PSEUDO	9.8e-05 clpn140_c + 6.1e-05 clpn150_c + 0.001116 clpn160_c + 0.000287 clpn161_c + 0.001055 clpnai150_c + 0.00097 clpnai170_c + 0.000213 clpni140_c + 0.00061 clpni150_c + 0.001238 clpni160_c + 0.000451 clpni170_c + 6.8e-05 pa140_c + 4.2e-05 pa150_c + 0.000778 pa160_c + 0.0002 pa161_c + 0.000735 paai150_c + 0.000676 paai170_c + 0.000149 pai140_c + 0.000425 pai150_c + 0.000863 pai160_c + 0.000314 pai170_c + 0.000349 pe140_c + 0.000218 pe150_c + 0.003997 pe160_c + 0.001026 pe161_c + 0.003778 peai150_c + 0.003472 peai170_c + 0.000764 pei140_c + 0.002184 pei150_c + 0.004433 pei160_c + 0.001616 pei170_c + 2.7e-05 pi140_c + 1.7e-05 pi150_c + 0.00031 pi160_c + 8e-05 pi161_c + 0.000293 piai150_c + 0.000269 piai170_c + 5.9e-05 pii140_c + 0.000169 pii150_c + 0.000344 pii160_c + 0.000125 pii170_c + 0.000364 tag140_c + 0.000227 tag150_c + 0.00416 tag160_c + 0.001068 tag161_c + 0.003933 tagai150_c + 0.003614 tagai170_c + 0.000796 tagi140_c + 0.002273 tagi150_c + 0.004614 tagi160_c + 0.001682 tagi170_c  -> lipid_c 		  0.00	   Inf	  0.00
MISC_PSEUDO	0.0050002 10fthf_c + 0.022621 15dap_c + 0.013693 2dmmql9_c + 2.5795e-05 2fe2s_c + 0.00016603 4fe4s_c + 0.0051418 5mthf_c + 7.5818e-06 adocbl_c + 0.0059007 amet_c + 1.6486e-05 btn_c + 0.0057463 ca2_c + 0.0057463 cl_c + 0.0030867 coa_c + 2.785e-05 cobalt2_c + 0.00078212 cu2_c + 0.00015761 fad_c + 0.0074127 fe2_c + 0.0086195 fe3_c + 2.1027e-05 fmn_c + 1.3708e-05 fmnh2_c + 9.2839e-05 hemeA_c + 0.21548 k_c + 4.2281e-05 lipopb_c + 0.0095768 mg2_c + 0.0051754 mlthf_c + 0.00076355 mn2_c + 8.1229e-06 mobd_c + 2.9159e-05 mocogdp_c + 0.013693 mql9_c + 0.0048563 msh_c + 0.0035578 nad_c + 0.0035532 nadh_c + 0.0031842 nadp_c + 0.0031795 nadph_c + 0.00035625 ni2_c + 3.4222e-05 pheme_c + 0.00016362 pppi_c + 0.026141 ptrc_c + 0.00017792 pydx5p_c + 1.0207e-06 pyr_c + 0.0062627 ribflv_c + 0.0025947 sheme_c + 0.0047878 so4_c + 0.015896 spmd_c + 0.011421 sprm_c + 0.0053158 thf_c + 2.2555e-05 thmpp_c + 0.0025506 udcpdp_c + 0.00037597 zn2_c  -> misc_c 		  0.00	   Inf	  0.00
PROTEIN_PSEUDO	0.60978 ala__L_c + 0.10195 arg__L_c + 0.18343 asn__L_c + 0.18599 asp__L_c + 0.08069 cys__L_c + 0.1418 gln__L_c + 0.25085 glu__L_c + 0.55317 gly_c + 0.07991 his__L_c + 0.24831 ile__L_c + 0.13981 leu__L_c + 0.0708 lys__L_c + 0.12059 met__L_c + 0.13521 phe__L_c + 0.37332 pro__L_c + 0.21339 ser__L_c + 0.26691 thr__L_c + 0.03275 trp__L_c + 0.06539 tyr__L_c + 0.22152 val__L_c  -> 4.0756 h2o_c + protein_c 		  0.00	   Inf	  0.00
PROTEIN_PSEUDO_tRNA	0.60978 alatrna_c + 0.10195 argtrna_c + 0.18343 asntrna_c + 0.18599 asptrna_c + 0.08069 cystrna_c + 0.1418 glntrna_c + 0.25085 glutrna_c + 0.55317 glytrna_c + 0.07991 histrna_c + 0.24831 iletrna_c + 0.13981 leutrna_c + 0.0708 lystrna_c + 0.12059 mettrna_c + 0.13521 phetrna_c + 0.37332 protrna_c + 0.21339 sertrna_c + 0.26691 thrtrna_c + 0.03275 trptrna_c + 0.06539 tyrtrna_c + 0.22152 valtrna_c  -> 4.0756 h2o_c + protein_tRNA_c + 0.60978 trnaala_c + 0.10195 trnaarg_c + 0.18343 trnaasn_c + 0.18599 trnaasp_c + 0.08069 trnacys_c + 0.1418 trnagln_c + 0.25085 trnaglu_c + 0.55317 trnagly_c + 0.07991 trnahis_c + 0.24831 trnaile_c + 0.13981 trnaleu_c + 0.0708 trnalys_c + 0.12059 trnamet_c + 0.13521 trnaphe_c + 0.37332 trnapro_c + 0.21339 trnaser_c + 0.26691 trnathr_c + 0.03275 trnatrp_c + 0.06539 trnatyr_c + 0.22152 trnaval_c 		  0.00	   Inf	  0.00
RNA_PSEUDO	0.11045 atp_c + 0.13226 ctp_c + 0.10035 gtp_c + 0.17554 utp_c  -> 0.5186 h_c + 0.5186 ppi_c + rna_c 		  0.00	   Inf	  0.00
ATPM	atp_c + h2o_c  -> adp_c + h_c + pi_c 		  2.64	   Inf	  0.00
PSEDUO_ACCEPTOR_NADP	nadp_c  -> acceptor_c 		  0.00	   Inf	  0.00
PSEDUO_DONOR_NADPH	nadph_c  -> donor_c 		  0.00	   Inf	  0.00
PSEUDO_ACCEPTOR_NAD	nad_c  -> acceptor_c 		  0.00	   Inf	  0.00
PSEUDO_DONOR_NADH	nadh_c  -> donor_c 		  0.00	   Inf	  0.00
23DHBZS	3sulfcat_c + h2o_c + o2_c  -> 2hmc_c + 3 h_c + so3_c 	SCO6304	  0.00	   Inf	  0.00
23LGALAC	2dh3dogal_c + nad_c  -> 2dg25hbz_c + h_c + nadh_c 	SCO3477	  0.00	   Inf	  0.00
24DHX5M6OI	24dh5m6o24d_c  -> 4h2mohexn_c + h_c 	SCO5546	  0.00	   Inf	  0.00
2K3DRHAM	2dh3dorham_c + nad_c  -> 24ddhrham_c + h_c + nadh_c 	SCO0346 or SCO2850 or SCO6308	  0.00	   Inf	  0.00
2OGLUAH	HC00591_c + h2o_c  -> akg_c + nh4_c 	SCO3807	  0.00	   Inf	  0.00
2OH3EDISO	2hdhepdd_c  -> 2ohed_c 	SCO5546	  0.00	   Inf	  0.00
38DPCLOR	dvpchlda_c + h_c + nadph_c  -> dvchlda_c + nadp_c 	SCO0235 or SCO0240 or SCO2491 or SCO7693	  0.00	   Inf	  0.00
3DM4HXPPO	3dm4hdppyr_c + o2_c  -> 3dma4hma_c + co2_c 	SCO4787	  0.00	   Inf	  0.00
3DMA4HMO	3dma4hma_c + o2_c  -> 3dma4hbz_c + co2_c + h2o_c 	SCO4787	  0.00	   Inf	  0.00
3HAD100	3hdecACP_c  -> h2o_c + tdec2eACP_c 		  0.00	   Inf	  0.00
3HAD110	3hundcaACP_c  -> h2o_c + tundca2eACP_c 		  0.00	   Inf	  0.00
3HAD120	3hddecACP_c  -> h2o_c + tddec2eACP_c 		  0.00	   Inf	  0.00
3HAD121	3hcddec5eACP_c  -> h2o_c + t3c5ddeceACP_c 		  0.00	   Inf	  0.00
3HAD130	3htridcaACP_c  -> h2o_c + ttridca2eACP_c 		  0.00	   Inf	  0.00
3HAD140	3hmrsACP_c  -> h2o_c + tmrs2eACP_c 		  0.00	   Inf	  0.00
3HAD141	3hcmrs7eACP_c  -> h2o_c + t3c7mrseACP_c 		  0.00	   Inf	  0.00
3HAD150	3hptdcaACP_c  -> h2o_c + tptdca2eACP_c 		  0.00	   Inf	  0.00
3HAD160	3hpalmACP_c  -> h2o_c + tpalm2eACP_c 		  0.00	   Inf	  0.00
3HAD161	3hcpalm9eACP_c  -> h2o_c + t3c9palmeACP_c 		  0.00	   Inf	  0.00
3HAD170	3hhepdcaACP_c  -> h2o_c + thepdca2eACP_c 		  0.00	   Inf	  0.00
3HAD180	3hoctaACP_c  -> h2o_c + toctd2eACP_c 		  0.00	   Inf	  0.00
3HAD181	3hcvac11eACP_c  -> h2o_c + t3c11vaceACP_c 		  0.00	   Inf	  0.00
3HAD40	3haACP_c  -> but2eACP_c + h2o_c 		  0.00	   Inf	  0.00
3HAD50	3hptnACP_c  -> h2o_c + tptn2eACP_c 		  0.00	   Inf	  0.00
3HAD60	3hhexACP_c  -> h2o_c + thex2eACP_c 		  0.00	   Inf	  0.00
3HAD70	3hhepACP_c  -> h2o_c + thep2eACP_c 		  0.00	   Inf	  0.00
3HAD80	3hoctACP_c  -> h2o_c + toct2eACP_c 		  0.00	   Inf	  0.00
3HAD90	3hnonACP_c  -> h2o_c + tnon2eACP_c 		  0.00	   Inf	  0.00
3HADai110	3haiC11ACP_c  -> h2o_c + taiC112eACP_c 		  0.00	   Inf	  0.00
3HADai130	3haiC13ACP_c  -> h2o_c + taiC132eACP_c 		  0.00	   Inf	  0.00
3HADai150	3haiC15ACP_c  -> h2o_c + taiC152eACP_c 		  0.00	   Inf	  0.00
3HADai170	3haiC17ACP_c  -> h2o_c + taiC172eACP_c 		  0.00	   Inf	  0.00
3HADai70	3haiC7ACP_c  -> h2o_c + taiC72eACP_c 		  0.00	   Inf	  0.00
3HADai90	3haiC9ACP_c  -> h2o_c + taiC92eACP_c 		  0.00	   Inf	  0.00
3HADi100	3hiC10ACP_c  -> h2o_c + tiC102eACP_c 		  0.00	   Inf	  0.00
3HADi110	3hiC11ACP_c  -> h2o_c + tiC112eACP_c 		  0.00	   Inf	  0.00
3HADi120	3hiC12ACP_c  -> h2o_c + tiC122eACP_c 		  0.00	   Inf	  0.00
3HADi130	3hiC13ACP_c  -> h2o_c + tiC132eACP_c 		  0.00	   Inf	  0.00
3HADi140	3hiC14ACP_c  -> h2o_c + tiC142eACP_c 		  0.00	   Inf	  0.00
3HADi150	3hiC15ACP_c  -> h2o_c + tiC152eACP_c 		  0.00	   Inf	  0.00
3HADi160	3hiC16ACP_c  -> h2o_c + tiC162eACP_c 		  0.00	   Inf	  0.00
3HADi170	3hiC17ACP_c  -> h2o_c + tiC172eACP_c 		  0.00	   Inf	  0.00
3HADi180	3hiC18ACP_c  -> h2o_c + tiC182eACP_c 		  0.00	   Inf	  0.00
3HADi60	3hiC6ACP_c  -> h2o_c + tiC62eACP_c 		  0.00	   Inf	  0.00
3HADi70	3hiC7ACP_c  -> h2o_c + tiC72eACP_c 		  0.00	   Inf	  0.00
3HADi80	3hiC8ACP_c  -> h2o_c + tiC82eACP_c 		  0.00	   Inf	  0.00
3HADi90	3hiC9ACP_c  -> h2o_c + tiC92eACP_c 		  0.00	   Inf	  0.00
3HBCOAHL	3hibutcoa_c + h2o_c  -> 3hib_c + coa_c + h_c 		  0.00	   Inf	  0.00
3HXACOADH	2cm3hppc_c + nad_c  -> bzsuccoa_c + h_c + nadh_c 	SCO0365	  0.00	   Inf	  0.00
3HXKYN	3hdkynu_c + h_c + nadph_c  -> 3hxquin_c + h2o_c + nadp_c 	SCO2476	  0.00	   Inf	  0.00
3K5AHC	5am3ohex_c + accoa_c  -> 3ambutcoa_c + acac_c 	SCO6298	  0.00	   Inf	  0.00
3OCHOCDH	3oce26ocoa_c + acceptor_c  -> 3ocd26ocoa_c + donor_c 	SCO1197	  0.00	   Inf	  0.00
3OXCOADH	3oc4en24ocoa_c + acceptor_c  -> 3ocdncoa_c + donor_c 	SCO1198	  0.00	   Inf	  0.00
3OXOR	h2o_c + msa_c + nad_c  -> 2 h_c + malon_c + nadh_c 		  0.00	   Inf	  0.00
44DPCDH	44dpcop_c + 2 acceptor_c + 2 h2o_c  -> 44dpcopd_c + 2 donor_c + 2 h_c 	SCO6793	  0.00	   Inf	  0.00
45SDOPs	45secdop_c  -> betalm_c + h2o_c + h_c 		  0.00	   Inf	  0.00
4C4HX2OA	2h4oxbut_c  -> oaa_c + pyr_c 	SCO5940	  0.00	   Inf	  0.00
4CMCOAS	T4hcinnm_c + atp_c + coa_c  -> amp_c + coucoa_c + ppi_c 	SCO4383	  0.00	   Inf	  0.00
4COXADH	4carbzal_c + nad_c  -> 4cboxald_c + h_c + nadh_c 	SCO2477	  0.00	   Inf	  0.00
4HYBUT	atp_c + coa_c + ghb_c  -> 4hbutcoa_c + adp_c + pi_c 	SCO5842 or SCO6582	  0.00	   Inf	  0.00
4HYDPRO	chdpro__D_c + donor_c + o2_c  -> 1p4h2cbxl_c + acceptor_c + 2 h2o_c + h_c 	SCO6289	  0.00	   Inf	  0.00
4IZPHYDs	4izp_c + h2o_c  -> foriglut_c 		  0.00	   Inf	  0.00
4NIPHOM	4nitroph_c + 2 h_c + nadh_c + o2_c  -> 4nitrocc_c + h2o_c + nad_c 	SCO4280	  0.00	   Inf	  0.00
4NITROB	4nitrobz_c + 2 donor_c + 2 h_c  -> 4hambz_c + 2 acceptor_c + h2o_c 	SCO0044	  0.00	   Inf	  0.00
4SULFADH	4sulfbzalc_c + nad_c  -> 4sulbza_c + h_c + nadh_c 	SCO2477	  0.00	   Inf	  0.00
5DOAN	dad_5_c + h2o_c  -> 5drib_c + ade_c 		  0.00	   Inf	  0.00
5OP3TCCL	5c2oh3ed_c + h_c  -> 2hdhepdd_c + co2_c 	SCO5546	  0.00	   Inf	  0.00
ABT2DG	abt_c + nad_c  -> h_c + nadh_c + rbl__L_c 		  0.00	   Inf	  0.00
ABTD	abt_c + nad_c  -> h_c + nadh_c + xylu__L_c 		  0.00	   Inf	  0.00
ABTDG	abt__D_c + nad_c  -> h_c + nadh_c + xylu__D_c 	SCO0737	  0.00	   Inf	  0.00
AC1MO	acetone_c + h_c + nadh_c + o2_c  -> acetol_c + h2o_c + nad_c 	SCO0103	  0.00	   Inf	  0.00
ACCS	accoa_c + cys__L_c  -> accys_c + coa_c 	SCO5134	  0.00	   Inf	  0.00
ACITRULD	h2o_c + nacitrul__L_c  -> ac_c + citr__L_c 	SCO1676 or SCO6487	  0.00	   Inf	  0.00
ACODA	acorn_c + h2o_c  -> ac_c + orn_c 	SCO1676 or SCO6487	  0.00	   Inf	  0.00
ACONIs	acon_T_c  -> acon_C_c 	s0001	  0.00	   Inf	  0.00
ACPPAT120	ddcaACP_c + h_c + pi_c  -> ACP_c + ddcap_c 		  0.00	   Inf	  0.00
ACPPAT140	h_c + myrsACP_c + pi_c  -> ACP_c + ttdcap_c 		  0.00	   Inf	  0.00
