Rxn name	Formula	Gene-reaction association	LB	UB	Objective
ACTS1	ACPact_c + malcoa_c  <=> coa_c + malACPact_c 	SCO5089	-1000.00	1000.00	  0.00
ACTS10	actint1ACPact_c + nadph_c + h_c  -> actint2ACPact_c + nadp_c 	SCO5086	  0.00	1000.00	  0.00
ACTS11	actint2ACPact_c  -> actint3ACPact_c + 2 h2o_c 	SCO5090	  0.00	1000.00	  0.00
ACTS12	actint3ACPact_c  -> h2o_c + actint4ACPact_c 	SCO5091	  0.00	1000.00	  0.00
ACTS13	nadph_c + h_c + actint4ACPact_c  -> nadp_c + chiralc_c 	SCO5072	  0.00	1000.00	  0.00
ACTS14	actint5ACPact_c  -> h2o_c + dnpaACPact_c 	SCO5071 or SCO5072 or SCO5074	  0.00	1000.00	  0.00
ACTS15	nadph_c + h_c + dnpaACPact_c  -> nadp_c + ddhkACPact_c 	SCO5023 or SCO5075	  0.00	1000.00	  0.00
ACTS16	ddhkACPact_c + o2_c  -> h2o_c + dhkACPact_c 	( SCO5080 and SCO5092 ) or SCO5081	  0.00	1000.00	  0.00
ACTS2	malACPact_c + h_c + accoa_c  -> coa_c + actACPact_c + co2_c 	SCO5087 and SCO5088	  0.00	1000.00	  0.00
ACTS3	malcoa_c + h_c + actACPact_c  -> coa_c + co2_c + pk6ACPact_c 	SCO5087 and SCO5088	  0.00	1000.00	  0.00
ACTS4	malcoa_c + h_c + pk6ACPact_c  -> coa_c + co2_c + pk8ACPact_c 	SCO5087 and SCO5088	  0.00	1000.00	  0.00
ACTS5	malcoa_c + h_c + pk8ACPact_c  -> coa_c + co2_c + pk10ACPact_c 	SCO5087 and SCO5088	  0.00	1000.00	  0.00
ACTS6	malcoa_c + h_c + pk10ACPact_c  -> coa_c + co2_c + pk12ACPact_c 	SCO5087 and SCO5088	  0.00	1000.00	  0.00
ACTS7	malcoa_c + h_c + pk12ACPact_c  -> coa_c + co2_c + pk14ACPact_c 	SCO5087 and SCO5088	  0.00	1000.00	  0.00
ACTS8	malcoa_c + h_c + pk14ACPact_c  -> coa_c + co2_c + pk16ACPact_c 	SCO5087 and SCO5088	  0.00	1000.00	  0.00
ACTS9	pk16ACPact_c  -> actint1ACPact_c 	SCO5087 and SCO5088	  0.00	1000.00	  0.00
ALAD_L	h2o_c + nad_c + ala__L_c  -> h_c + nadh_c + nh4_c + pyr_c 	SCO1773	  0.00	1000.00	  0.00
ALAR	ala__L_c  <=> ala__D_c 	SCO4745	-1000.00	1000.00	  0.00
ALATA_L	ala__L_c + akg_c  <=> pyr_c + glu__L_c 	SCO4984 or SCO6222	-1000.00	1000.00	  0.00
APAT2r	akg_c + ala_B_c  <=> glu__L_c + msa_c 	SCO5676 or SCO6412 or SCO7034 or SCO3622	-1000.00	1000.00	  0.00
ASNN	h2o_c + asn__L_c  -> nh4_c + asp__L_c 		  0.00	1000.00	  0.00
ASNS1	h2o_c + asp__L_c + atp_c + gln__L_c  -> h_c + glu__L_c + asn__L_c + amp_c + ppi_c 	SCO0386	  0.00	1000.00	  0.00
ASPO1	h2o_c + o2_c + asp__L_c  -> nh4_c + h2o2_c + oaa_c 	SCO3382	  0.00	1000.00	  0.00
ASPTA	akg_c + asp__L_c  <=> glu__L_c + oaa_c 	SCO4645 or SCO3658	-1000.00	1000.00	  0.00
3OXCOAT	coa_c + oxadpcoa_c  -> accoa_c + succoa_c 	SCO1324 or SCO6027 or SCO6701 or SCO6967	  0.00	1000.00	  0.00
5DGLCNR	nadph_c + h_c + 5dglcn_c  <=> nadp_c + glcn_c 	SCO1681	-1000.00	1000.00	  0.00
6PHBG	h2o_c + salcn6p_c  -> 2hymeph_c + g6p_c 	SCO2661 or SCO6670	  0.00	1000.00	  0.00
AAMYLe	14glucan_e  -> malthx_e 	SCO2226	  0.00	1000.00	  0.00
ACM6PH	h2o_c + acmum6p_c  -> acgam6p_c + lac__D_c 	SCO4307	  0.00	1000.00	  0.00
ACS2	coa_c + atp_c + ppa_c  -> amp_c + ppi_c + ppcoa_c 	SCO3563 or SCO6195	  0.00	1000.00	  0.00
ADNUC	h2o_c + adn_c  -> ade_c + rib__D_c 	SCO3779	  0.00	1000.00	  0.00
AGDC	h2o_c + acgam6p_c  -> ac_c + gam6p_c 	SCO4284	  0.00	1000.00	  0.00
ALCD19	h_c + nadh_c + glyald_c  <=> nad_c + glyc_c 	SCO0199 or SCO0259 or SCO5262 or SCO7362	-1000.00	1000.00	  0.00
