Reaction ID;Note;Reference;DOI
BIOMASS_SCO;Re-estimated using proteomics data in ScoGEM;;
BIOMASS_SCO_tRNA;;;
CARBOHYDRATE_PSEUDO;;;
CELL_WALL_PSEUDO;;;
DNA_PSEUDO;;;
LIPID_PSEUDO;;;
MISC_PSEUDO;;;
PROTEIN_PSEUDO;;;
PROTEIN_PSEUDO_tRNA;;;
RNA_PSEUDO;;;
ATPM;Estimated in the given reference;"Amara A, Takano E, Breitling R. Development and validation of an updated computational model of Streptomyces coelicolor primary and secondary metabolism. BMC Genomics. 2018;19(1):519";10.1186/s12864-018-4905-5
PSEUDO_ACCEPTOR_NAD;;;
PSEUDO_ACCEPTOR_NADP;;;
PSEUDO_DONOR_NADH;;;
PSEUDO_DONOR_NADPH;;;
11OXPENT;;;
1P4H2CDA;;;
23DHBZS;;;
23LGALAC;;;
23PDE2e;;;
23PDE4e;;;
23PDE7e;;;
23PDE9e;;;
24DCLPMO;;;
24DCOAR;;;
24DHX5M6OI;;;
25DBUT;;;
2A3MUCSD;;;
2ABZMOx;;;
2ABZMOy;;;
2AMUCSAD;;;
2CLRED;;;
2D3DGLUCDH;;;
2DHGLCK;;;
2FURAPS;;;
2K3DRHAM;;;
2MBCOATA;;Li Y, Florova G, Reynolds KA.#2005#Alteration of the fatty acid profile of Streptomyces coelicolor by replacement of the initiation enzyme 3-ketoacyl acyl carrier protein synthase III (FabH).#J Bacteriol.#187#3795-3799#;10.1128/JB.187.11.3795-3799.2005
2METBOD;;;
2OGLUAH;;;
2OH3EDISO;;;
2OXOADOX;;;
33BIFLAV;;;
34HPPOR;;;
36AHDGALC;;;
38BIFLAVS;;;
38DPCLOR;;;
3AIBUTS;;;
3CLBZADH;;;
3CLBZDH;;;
3CTHPPT;;;
3DM4HXPPO;;;
3DMA4HMO;;;
3HAD100;Required for growth (fatty acid biosynthesis);;
3HAD110;Required for growth (fatty acid biosynthesis);;
3HAD120;Required for growth (fatty acid biosynthesis);;
3HAD121;Required for growth (fatty acid biosynthesis);;
3HAD130;Required for growth (fatty acid biosynthesis);;
3HAD140;Required for growth (fatty acid biosynthesis);;
3HAD141;Required for growth (fatty acid biosynthesis);;
3HAD150;Required for growth (fatty acid biosynthesis);;
3HAD160;Required for growth (fatty acid biosynthesis);;
3HAD161;Required for growth (fatty acid biosynthesis);;
3HAD170;Required for growth (fatty acid biosynthesis);;
3HAD180;Required for growth (fatty acid biosynthesis);;
3HAD181;Required for growth (fatty acid biosynthesis);;
3HAD40;Required for growth (fatty acid biosynthesis);;
3HAD50;Required for growth (fatty acid biosynthesis);;
3HAD60;Required for growth (fatty acid biosynthesis);;
3HAD70;Required for growth (fatty acid biosynthesis);;
3HAD80;Required for growth (fatty acid biosynthesis);;
3HAD90;Required for growth (fatty acid biosynthesis);;
3HADai110;Required for growth (fatty acid biosynthesis);;
3HADai130;Required for growth (fatty acid biosynthesis);;
3HADai150;Required for growth (fatty acid biosynthesis);;
3HADai170;Required for growth (fatty acid biosynthesis);;
3HADai70;Required for growth (fatty acid biosynthesis);;
3HADai90;Required for growth (fatty acid biosynthesis);;
3HADi100;Required for growth (fatty acid biosynthesis);;
3HADi110;Required for growth (fatty acid biosynthesis);;
3HADi120;Required for growth (fatty acid biosynthesis);;
3HADi130;Required for growth (fatty acid biosynthesis);;
3HADi140;Required for growth (fatty acid biosynthesis);;
3HADi150;Required for growth (fatty acid biosynthesis);;
3HADi160;Required for growth (fatty acid biosynthesis);;
3HADi170;Required for growth (fatty acid biosynthesis);;
3HADi180;Required for growth (fatty acid biosynthesis);;
3HADi60;Required for growth (fatty acid biosynthesis);;
3HADi70;Required for growth (fatty acid biosynthesis);;
3HADi80;Required for growth (fatty acid biosynthesis);;
3HADi90;Required for growth (fatty acid biosynthesis);;
3HBCOADH;;;
3HBCOAHL;Included as a part of valine degradation pathway, but not necessary;;
3HCINNMH;;;
