	M145_21	M145_29	M145_33	M145_37	M145_41	M145_45	M145_49	M145_53	M145_57	M1152_33	M1152_41	M1152_45	M1152_49	M1152_53	M1152_57	M1152_61	M1152_65	STDEV_M145_21	STDEV_M145_29	STDEV_M145_33	STDEV_M145_37	STDEV_M145_41	STDEV_M145_45	STDEV_M145_49	STDEV_M145_53	STDEV_M145_57	STDEV_M1152_33	STDEV_M1152_41	STDEV_M1152_45	STDEV_M1152_49	STDEV_M1152_53	STDEV_M1152_57	STDEV_M1152_61	STDEV_M1152_65
BIOMASS_SCO_tRNA	0.24311	0.10251	0.072501	0.008697	0.0083966	0.008132	0.0031184	0.0030784	0.0030414	0.13906	0.065479	0.05178	0.042956	0.0069633	0.0069513	0.00695	0.0069506	5.6344e-15	0.00016103	0.00010113	5.9721e-05	5.1258e-05	6.0659e-05	2.2799e-05	2.1225e-05	2.1703e-05	9.0532e-08	6.8232e-08	5.0184e-14	0.00031211	5.305e-05	5.0288e-05	4.8979e-05	4.96e-05
CARBOHYDRATE_PSEUDO	0.24311	0.10251	0.072501	0.008697	0.0083966	0.008132	0.0031184	0.0030784	0.0030414	0.13906	0.065479	0.05178	0.042956	0.0069633	0.0069513	0.00695	0.0069506	5.6344e-15	0.00016103	0.00010113	5.9721e-05	5.1258e-05	6.0659e-05	2.2799e-05	2.1225e-05	2.1703e-05	9.0532e-08	6.8233e-08	2.871e-13	0.00031211	5.305e-05	5.0288e-05	4.8979e-05	4.96e-05
CELL_WALL_PSEUDO	0.24311	0.10251	0.072501	0.008697	0.0083966	0.008132	0.0031184	0.0030784	0.0030414	0.13906	0.065479	0.05178	0.042956	0.0069633	0.0069513	0.00695	0.0069506	5.6344e-15	0.00016103	0.00010113	5.9721e-05	5.1258e-05	6.0659e-05	2.2799e-05	2.1225e-05	2.1703e-05	9.0532e-08	6.8232e-08	5.0184e-14	0.00031211	5.305e-05	5.0288e-05	4.8979e-05	4.96e-05
DNA_PSEUDO	0.24311	0.10251	0.072501	0.008697	0.0083966	0.008132	0.0031184	0.0030784	0.0030414	0.13906	0.065479	0.05178	0.042956	0.0069633	0.0069513	0.00695	0.0069506	5.6344e-15	0.00016103	0.00010113	5.9721e-05	5.1258e-05	6.0659e-05	2.2799e-05	2.1225e-05	2.1703e-05	9.0532e-08	6.8232e-08	5.0184e-14	0.00031211	5.305e-05	5.0288e-05	4.8979e-05	4.96e-05
LIPID_PSEUDO	0.24311	0.10251	0.072501	0.008697	0.0083966	0.008132	0.0031184	0.0030784	0.0030414	0.13906	0.065479	0.05178	0.042956	0.0069633	0.0069513	0.00695	0.0069506	5.6344e-15	0.00016103	0.00010113	5.9721e-05	5.1258e-05	6.0659e-05	2.2799e-05	2.1225e-05	2.1703e-05	9.0532e-08	6.8232e-08	5.0184e-14	0.00031211	5.305e-05	5.0288e-05	4.8979e-05	4.96e-05
MISC_PSEUDO	0.24311	0.10251	0.072501	0.008697	0.0083966	0.008132	0.0031184	0.0030784	0.0030414	0.13906	0.065479	0.05178	0.042956	0.0069633	0.0069513	0.00695	0.0069506	5.6344e-15	0.00016103	0.00010113	5.9721e-05	5.1258e-05	6.0659e-05	2.2799e-05	2.1225e-05	2.1703e-05	9.0532e-08	6.8232e-08	5.0184e-14	0.00031211	5.305e-05	5.0288e-05	4.8979e-05	4.96e-05
PROTEIN_PSEUDO_tRNA	0.24311	0.10251	0.072501	0.008697	0.0083966	0.008132	0.0031184	0.0030784	0.0030414	0.13906	0.065479	0.05178	0.042956	0.0069633	0.0069513	0.00695	0.0069506	5.6344e-15	0.00016103	0.00010113	5.9721e-05	5.1258e-05	6.0659e-05	2.2799e-05	2.1225e-05	2.1703e-05	9.0532e-08	6.8232e-08	5.0183e-14	0.00031211	5.305e-05	5.0288e-05	4.8979e-05	4.96e-05
RNA_PSEUDO	0.24311	0.10251	0.072501	0.008697	0.0083966	0.008132	0.0031184	0.0030784	0.0030414	0.13906	0.065479	0.05178	0.042956	0.0069633	0.0069513	0.00695	0.0069506	5.6344e-15	0.00016103	0.00010113	5.9721e-05	5.1258e-05	6.0659e-05	2.2799e-05	2.1225e-05	2.1703e-05	9.0532e-08	6.8232e-08	5.0184e-14	0.00031211	5.305e-05	5.0288e-05	4.8979e-05	4.96e-05
ATPM	6.9993	1.1965	0.61308	7.834	7.9258	5.8025	5.5124	6.6551	5.4614	0.00090957	0.0004283	4.2811	4.7289	6.7046	6.0652	5.6515	4.9614	6.2204e-15	2.1105e-14	6.3314e-15	0.012392	1.4396e-13	1.1108e-13	0.0091741	8.8862e-14	6.4869e-14	2.2237e-17	7.6474e-18	7.0201e-14	4.4431e-15	4.1765e-14	0.010094	3.199e-14	0.011671
PSEUDO_ACCEPTOR_NAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
