rxns	MEAN_M145_21	MEAN_M145_29	MEAN_M145_33	MEAN_M145_37	MEAN_M145_41	MEAN_M145_45	MEAN_M145_49	MEAN_M145_53	MEAN_M145_57	MEAN_M1152_33	MEAN_M1152_41	MEAN_M1152_45	MEAN_M1152_49	MEAN_M1152_53	MEAN_M1152_57	MEAN_M1152_61	MEAN_M1152_65	STDEV_M145_21	STDEV_M145_29	STDEV_M145_33	STDEV_M145_37	STDEV_M145_41	STDEV_M145_45	STDEV_M145_49	STDEV_M145_53	STDEV_M145_57	STDEV_M1152_33	STDEV_M1152_41	STDEV_M1152_45	STDEV_M1152_49	STDEV_M1152_53	STDEV_M1152_57	STDEV_M1152_61	STDEV_M1152_65	Z_M145_29h_vs_M145_45h	Z_M145_29h_vs_M1152_41h	Z_M1152_41h_vs_M1152_57h	Z_M145_45h_vs_M1152_57h
BIOMASS_SCO_tRNA	1.717999e-02	1.487711e-02	1.163276e-02	1.746135e-03	1.806974e-03	1.860191e-03	7.888349e-04	8.222211e-04	8.784061e-04	1.531631e-02	1.151006e-02	9.493518e-03	8.551991e-03	1.679586e-03	1.894552e-03	2.191542e-03	2.215591e-03	1.841923e-05	3.137954e-05	3.611277e-05	7.881171e-06	7.545419e-06	8.237276e-06	3.285680e-06	3.418748e-06	3.798283e-06	2.439927e-05	3.734631e-05	4.261615e-05	2.998969e-05	7.607909e-06	8.965456e-06	9.603889e-06	9.874161e-06	100	100	100	-100
CARBOHYDRATE_PSEUDO	1.717999e-02	1.487711e-02	1.163276e-02	1.746135e-03	1.806974e-03	1.860191e-03	7.888349e-04	8.222211e-04	8.784061e-04	1.531631e-02	1.151006e-02	9.493518e-03	8.551991e-03	1.679586e-03	1.894552e-03	2.191542e-03	2.215591e-03	1.841923e-05	3.137954e-05	3.611277e-05	7.881171e-06	7.545419e-06	8.237276e-06	3.285680e-06	3.418748e-06	3.798283e-06	2.439927e-05	3.734631e-05	4.261615e-05	2.998969e-05	7.607909e-06	8.965456e-06	9.603889e-06	9.874161e-06	100	100	100	-100
CELL_WALL_PSEUDO	1.717999e-02	1.487711e-02	1.163276e-02	1.746135e-03	1.806974e-03	1.860191e-03	7.888349e-04	8.222211e-04	8.784061e-04	1.531631e-02	1.151006e-02	9.493518e-03	8.551991e-03	1.679586e-03	1.894552e-03	2.191542e-03	2.215591e-03	1.841923e-05	3.137954e-05	3.611277e-05	7.881171e-06	7.545419e-06	8.237276e-06	3.285680e-06	3.418748e-06	3.798283e-06	2.439927e-05	3.734631e-05	4.261615e-05	2.998969e-05	7.607909e-06	8.965456e-06	9.603889e-06	9.874161e-06	100	100	100	-100
DNA_PSEUDO	1.717999e-02	1.487711e-02	1.163276e-02	1.746135e-03	1.806974e-03	1.860191e-03	7.888349e-04	8.222211e-04	8.784061e-04	1.531631e-02	1.151006e-02	9.493518e-03	8.551991e-03	1.679586e-03	1.894552e-03	2.191542e-03	2.215591e-03	1.841923e-05	3.137954e-05	3.611277e-05	7.881171e-06	7.545419e-06	8.237276e-06	3.285680e-06	3.418748e-06	3.798283e-06	2.439927e-05	3.734631e-05	4.261615e-05	2.998969e-05	7.607909e-06	8.965456e-06	9.603889e-06	9.874161e-06	100	100	100	-100
LIPID_PSEUDO	1.717999e-02	1.487711e-02	1.163276e-02	1.746135e-03	1.806974e-03	1.860191e-03	7.888349e-04	8.222211e-04	8.784061e-04	1.531631e-02	1.151006e-02	9.493518e-03	8.551991e-03	1.679586e-03	1.894552e-03	2.191542e-03	2.215591e-03	1.841923e-05	3.137954e-05	3.611277e-05	7.881171e-06	7.545419e-06	8.237276e-06	3.285680e-06	3.418748e-06	3.798283e-06	2.439927e-05	3.734631e-05	4.261615e-05	2.998969e-05	7.607909e-06	8.965456e-06	9.603889e-06	9.874161e-06	100	100	100	-100
MISC_PSEUDO	1.717999e-02	1.487711e-02	1.163276e-02	1.746135e-03	1.806974e-03	1.860191e-03	7.888349e-04	8.222211e-04	8.784061e-04	1.531631e-02	1.151006e-02	9.493518e-03	8.551991e-03	1.679586e-03	1.894552e-03	2.191542e-03	2.215591e-03	1.841923e-05	3.137954e-05	3.611277e-05	7.881171e-06	7.545419e-06	8.237276e-06	3.285680e-06	3.418748e-06	3.798283e-06	2.439927e-05	3.734631e-05	4.261615e-05	2.998969e-05	7.607909e-06	8.965456e-06	9.603889e-06	9.874161e-06	100	100	100	-100
PROTEIN_PSEUDO_tRNA	1.717999e-02	1.487711e-02	1.163276e-02	1.746135e-03	1.806974e-03	1.860191e-03	7.888349e-04	8.222211e-04	8.784061e-04	1.531631e-02	1.151006e-02	9.493518e-03	8.551991e-03	1.679586e-03	1.894552e-03	2.191542e-03	2.215591e-03	1.841923e-05	3.137954e-05	3.611277e-05	7.881171e-06	7.545419e-06	8.237276e-06	3.285680e-06	3.418748e-06	3.798283e-06	2.439927e-05	3.734631e-05	4.261615e-05	2.998969e-05	7.607909e-06	8.965456e-06	9.603889e-06	9.874161e-06	100	100	100	-100
RNA_PSEUDO	1.717999e-02	1.487711e-02	1.163276e-02	1.746135e-03	1.806974e-03	1.860191e-03	7.888349e-04	8.222211e-04	8.784061e-04	1.531631e-02	1.151006e-02	9.493518e-03	8.551991e-03	1.679586e-03	1.894552e-03	2.191542e-03	2.215591e-03	1.841923e-05	3.137954e-05	3.611277e-05	7.881171e-06	7.545419e-06	8.237276e-06	3.285680e-06	3.418748e-06	3.798283e-06	2.439927e-05	3.734631e-05	4.261615e-05	2.998969e-05	7.607909e-06	8.965456e-06	9.603889e-06	9.874161e-06	100	100	100	-100
ATPM	2.058205e+00	1.845201e+00	2.211675e+00	4.275177e+00	4.458067e+00	4.631525e+00	4.823275e+00	4.986301e+00	5.245685e+00	8.976022e-01	2.195447e+00	2.951011e+00	3.423487e+00	5.139985e+00	4.710050e+00	5.127509e+00	5.216780e+00	1.691606e-04	1.266030e-13	1.895268e-13	3.612824e-04	3.260182e-04	3.470942e-04	2.844989e-04	1.987066e-13	3.251145e-04	3.610394e-04	4.062345e-04	2.381657e-13	1.488962e-13	1.898602e-13	4.317426e-13	3.326933e-04	3.540494e-13	-100	-100	-100	-100
23DHBZS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
