	M145_21	M145_29	M145_33	M145_37	M145_41	M145_45	M145_49	M145_53	M145_57	M1152_33	M1152_41	M1152_45	M1152_49	M1152_53	M1152_57	M1152_61	M1152_65
BIOMASS_SCO_tRNA	0.24311	0.10245	0.072459	0.0086734	0.0083794	0.0081051	0.0031086	0.00307	0.0030324	0.13906	0.065479	0.05178	0.042821	0.006939	0.00693	0.00693	0.00693
CARBOHYDRATE_PSEUDO	0.24311	0.10245	0.072459	0.0086734	0.0083794	0.0081051	0.0031086	0.00307	0.0030324	0.13906	0.065479	0.05178	0.042821	0.006939	0.00693	0.00693	0.00693
CELL_WALL_PSEUDO	0.24311	0.10245	0.072459	0.0086734	0.0083794	0.0081051	0.0031086	0.00307	0.0030324	0.13906	0.065479	0.05178	0.042821	0.006939	0.00693	0.00693	0.00693
DNA_PSEUDO	0.24311	0.10245	0.072459	0.0086734	0.0083794	0.0081051	0.0031086	0.00307	0.0030324	0.13906	0.065479	0.05178	0.042821	0.006939	0.00693	0.00693	0.00693
LIPID_PSEUDO	0.24311	0.10245	0.072459	0.0086734	0.0083794	0.0081051	0.0031086	0.00307	0.0030324	0.13906	0.065479	0.05178	0.042821	0.006939	0.00693	0.00693	0.00693
MISC_PSEUDO	0.24311	0.10245	0.072459	0.0086734	0.0083794	0.0081051	0.0031086	0.00307	0.0030324	0.13906	0.065479	0.05178	0.042821	0.006939	0.00693	0.00693	0.00693
PROTEIN_PSEUDO_tRNA	0.24311	0.10245	0.072459	0.0086734	0.0083794	0.0081051	0.0031086	0.00307	0.0030324	0.13906	0.065479	0.05178	0.042821	0.006939	0.00693	0.00693	0.00693
RNA_PSEUDO	0.24311	0.10245	0.072459	0.0086734	0.0083794	0.0081051	0.0031086	0.00307	0.0030324	0.13906	0.065479	0.05178	0.042821	0.006939	0.00693	0.00693	0.00693
ATPM	2.2466	0.79732	0.62918	8.1884	8.3495	6.1081	5.8109	7.5574	5.7582	0.00095744	0.00045084	4.6127	4.9078	7.0499	7.2561	7.4472	5.2326
PSEUDO_ACCEPTOR_NAD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSEUDO_ACCEPTOR_NADP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
