"Pathways"	"Subsystem 1"	"Subsystem 2"
PWY-6543	Folate-Biosynthesis	Vitamin-Biosynthesis
PWY0-1507	BIOTIN-SYN	Vitamin-Biosynthesis
PWY-7380	BIOTIN-SYN	Vitamin-Biosynthesis
BIOTIN-BIOSYNTHESIS-PWY	BIOTIN-SYN // Super-Pathways	Vitamin-Biosynthesis // Pathways
PWY-5005	BIOTIN-SYN // Super-Pathways	Vitamin-Biosynthesis // Pathways
RIBOSYN2-PWY	Flavin-Biosynthesis	Vitamin-Biosynthesis
PWY-6167	Flavin-Biosynthesis	Vitamin-Biosynthesis
PWY-6168	Flavin-Biosynthesis	Vitamin-Biosynthesis
PWY66-366	Flavin-Biosynthesis	Vitamin-Biosynthesis
PWY-2161	Folate-Biosynthesis	Vitamin-Biosynthesis
PWY-2161B	Folate-Biosynthesis	Vitamin-Biosynthesis
PWY-882	Ascorbate-Biosynthesis	Vitamin-Biosynthesis
PWY4FS-11	Ascorbate-Biosynthesis	Vitamin-Biosynthesis
PWY-5521	Ascorbate-Biosynthesis	Vitamin-Biosynthesis
PWY3DJ-35471	Ascorbate-Biosynthesis	Vitamin-Biosynthesis
PWY-6415	Ascorbate-Biosynthesis // Super-Pathways	Vitamin-Biosynthesis // Pathways
PWY-7165	Ascorbate-Biosynthesis	Vitamin-Biosynthesis
1CMET2-PWY	Folate-Biosynthesis	Vitamin-Biosynthesis
PANTO-PWY	Pantothenate-Biosynthesis	Vitamin-Biosynthesis
PWY-3961	Pantothenate-Biosynthesis	Vitamin-Biosynthesis
PWY-6654	Pantothenate-Biosynthesis	Vitamin-Biosynthesis
PWY0-1597	Flavin-Biosynthesis	Vitamin-Biosynthesis
PYRIDOXSYN-PWY	Vitamin-B6-Biosynthesis	Vitamin-Biosynthesis
PWY-6466	Vitamin-B6-Biosynthesis	Vitamin-Biosynthesis
PLPSAL-PWY	Vitamin-B6-Biosynthesis	Vitamin-Biosynthesis
PWY-7204	Vitamin-B6-Biosynthesis	Vitamin-Biosynthesis
PWY-6872	Vitamin-A-Biosynthesis	Vitamin-Biosynthesis
PWY-6875	Vitamin-A-Biosynthesis	Vitamin-Biosynthesis
PWY-6857	Vitamin-A-Biosynthesis	Vitamin-Biosynthesis
PWY-6612	Folate-Biosynthesis // Super-Pathways	Vitamin-Biosynthesis // Pathways
