Uniprot	Gene
Q9L268	SCO1541
O88038	SCO6682
Q9AD92	SCO1675
Q7AKG8	SCO5217
Q7AKI9	SCO4767
Q9KYG7	SCO2705
Q9RKY0	SCO1421
Q7AKG9	SCO5216
P54741	SCO4423
Q9L1L8	SCO5426
O08333	SCO2119
P16250	SCO2050
P15474	SCO1961
Q7AKE4	SCO6685
Q9FCA6	SCO1207
Q9K498	SCO5223
Q9X839	SCO6073
Q9KZF5	SCO6998
P95722	SCO2595
Q9X9Z2	SCO1800
Q9L1J9	SCO2717
Q9KYH3	SCO2699
Q9ZBQ7	SCO5572
Q9K3J3	SCO4827
Q9S2A5	SCO1725
O88037	SCO6681
Q9L0C8	SCO4714
Q9XAI4	SCO3618
P36176	SCO3876
Q9L2H3	SCO2510
Q9S220	SCO1780
Q934F8	SCO2719
Q9RDI1	SCO2746
Q7AY50	SCO2718
Q9RKK5	SCO4079
Q9RDK1	SCO2585
Q9KXR7	SCO1482
Q9X8R7	SCO3650
Q9KXR1	SCO1488
Q7AKE5	SCO6684
Q9KZJ5	SCO1150
Q53874	SCO4734
Q9L0D0	SCO4712
P46787	SCO4721
O86775	SCO4730
Q8CK44	SCO0811
Q9X8K6	SCO3427
Q9X807	SCO2149
Q9FC33	SCO7051
P41103	SCO4652
O88039	SCO6683
P46788	SCO4718
P0A477	SCO5595
P0A463	SCO4648
P21861	SCO3203
Q9L287	SCO1522
Q8CJR5	SCO5425
Q9K3T8	SCO3125
Q9K3V7	SCO4387
Q9L286	SCO1523
P53433	SCO3921
P58286	SCO0978
Q9ZBK6	SCO6468
Q9KZW2	SCO4139
Q9KZP1	SCO1391
Q9RJ61	SCO1640
Q9RL48	SCO0438
Q9XAQ6	SCO4564
Q9ZBY8	SCO3944
Q93JL5	SCO4979
Q7AKQ5	SCO1644
Q9X844	SCO3383
Q9KXT4	SCO4307
Q9L1C3	SCO1559
Q9XAP8	SCO4556
Q9F1Y6	SCO7700
Q9L0Y3	SCO1476
O69967	SCO5791
Q9F364	SCO2162
Q9X8N8	SCO3382
Q9S219	SCO1781
O88022	SCO6666
Q9S2W9	SCO2086
Q9FBW3	SCO7822
Q9S2X7	SCO2074
P72396	SCO2232
O69979	SCO5803
O69963	SCO5787
Q9XA86	SCO0839
O54101	SCO5905
P11545	SCP1.237c
Q9S2L4	SCO1989
O50515	SCO5841
Q8CK51	SCO0617
Q93RZ5	SCO0575
Q9FC99	SCO1214
Q7AKQ4	SCO1646
O86722	SCO6540
Q9Z519	SCO1946
P54739	SCO2974
P54740	SCO2973
Q9XA16	SCO3848
Q9S2C0	SCO3821
O88011	SCO6655
Q9L0D3	SCO4709
O88058	SCO1598
Q9L0C9	SCO4713
P48206	SCO3881
Q9K3T9	SCO3124
Q9L1I1	SCO2596
Q9L0Z5	SCO1464
O69989	SCO5812
Q9X7R6	SCO7284
Q9L0D5	SCO4707
Q9L1I0	SCO2597
P48950	SCO4649
Q9RDE4	SCO2547
Q9L0D2	SCO4710
Q9EWJ9	SCO1440
Q9S2H7	SCO2904
Q9L0D7	SCO4705
Q9K4E5	SCO5359
Q9X8K8	SCO3429
Q9ZBR5	SCO5564
P27901	SCO3880
O88059	SCO1599
Q93JH3	SCO0569
P46786	SCO4717
Q9K3L9	SCO1041
O86655	SCO5736
Q9ZBQ8	SCO5571
Q9RL50	SCO0436
Q9L0E0	SCO4702
Q9X8K7	SCO3428
Q93S00	SCO0570
P66301	SCO4726
P66233	SCO4635
Q9L0D9	SCO4703
P60312	SCO4729
P41102	SCO4653
Q9L0L0	SCO4654
O69879	SCO5591
Q9FCA7	SCO1206
Q9KXS1	SCO1478
Q9X8K4	SCO3425
O86773	SCO4727
Q9KXR3	SCO1486
O69913	SCO5626
Q9RL45	SCO0441
Q9KXR2	SCO1487
O50487	SCO5769
O86754	SCO5645
P0A4D3	SCO5593
Q9KYR2	SCO5703
Q9S224	SCO1776
O86812	SCO5752
Q9X806	SCO2148
Q53915	SCO2972
Q9RKS2	SCO2256
Q8CJM9	SCO6464
Q9K4C3	SCO5388
Q9K4E3	SCO5361
Q9Z527	SCO5708
Q9K4E4	SCO5360
O54143	SCO5879
Q9WX14	SCO3320
Q9X8U5	SCO3909
O50488	SCO5770
Q9RDH8	SCO2749
P52560	SCO1513
P16922	SCO5877
P0A4A3	SCO4659
Q9L0D1	SCO4711
P38133	SCO3356
Q9X8K9	SCO3430
P66470	SCO3908
P66417	SCO4715
P37971	SCO4035
Q8CJT1	SCO4655
P17211	SCO5621
O86770	SCO5627
Q9RDM3	SCO2563
P0A302	SCO5366
Q9FCC2	SCO1245
P24532	SCO7036
P0A304	SCO5368
O86511	SCO5529
Q9S1U6	SCO0046
Q8CJY7	SCO2716
P0A3Z3	SCO1352
O54189	SCO5960
Q9L1B1	SCO1570
Q9KXQ6	SCO1494
Q9KXQ4	SCO1496
Q9K4D7	SCO5369
Q9K4D4	SCO5372
Q9K4D6	SCO5370
P0A2Z6	SCO5374
Q9K4D5	SCO5371
P46106	SCO5085
P23153	SCO5316
O86785	SCO4744
Q9ZBQ3	SCO5576
Q9L0L6	SCO4644
Q9X7T2	SCO7268
P46105	SCO5083
Q9X928	SCO3563
Q7AKI6	SCO5031
Q04943	SCO4906
O50523	SCO5849
Q9RK61	SCO0549
Q9RJZ6	SCO1174
Q9X8R6	SCO3649
O86786	SCO4745
P07883	SCO3471
Q9KXR5	SCO1484
P0A3Z1	SCO3970
O86509	SCO5527
Q04942	SCO4907
P54895	SCO1580
Q9K4A7	SCO5212
Q9L213	SCO6819
P52561	SCO1514
Q9L1A5	SCO1576
Q9L1A3	SCO1578
Q9L1A4	SCO1577
Q9RJ58	SCO1648
Q9Z598	SCO6204
Q9XA76	SCO3801
Q9KXR6	SCO1483
Q9S2Q7	SCO2179
Q9EWJ1	SCO7593
P27902	SCO3879
Q93IZ8	SCO7522
Q9Z618	SCO2064
P27903	SCO3878
Q9X813	SCO2155
Q9K499	SCO5222
Q9X809	SCO2151
Q9X9W0	SCO1912
Q9RDF2	SCO2539
Q05558	SCO3671
P0A3H5	SCO2950
O54134	SCO5868
Q9X9V6	SCO1916
Q9X8L6	SCO3352
Q02058	SCO5092
Q9FCB1	SCO1202
Q9Z585	SCO5494
Q9S1N4	SCO2468
Q9RDD7	SCO2554
P40170	SCO3669
Q02055	SCO5090
Q9XA10	SCO3854
Q9X814	SCO2156
Q9XAC2	SCO1934
Q9X812	SCO2154
Q9ACU1	SCP1.212
Q9FC39	SCO7044
P40135	SCO4928
Q9ADG3	SCO6100
Q9FC37	SCO7046
Q9X7W3	SCO6768
Q9K4F6	SCO4182
Q8CJP7	SCO6013
Q9AK82	SCO1380
O54161	SCO5932
Q93RW1	SCO1865
Q93RW0	SCO1866
O31213	SCO5625
Q9KYS1	SCO5694
Q9F3C7	SCO7548
Q9EWI9	SCO7595
Q9RJN1	SCO0613
Q8CK24	SCO1579
P80574	SCO2115
Q9KXQ5	SCO1495
Q9RKU5	SCO6247
Q9RKU4	SCO6248
O54190	SCO5961
Q9X7P0	SCO6734
O69861	SCO6031
Q9X7M4	SCO6718
Q9XAQ2	SCO4560
O86836	SCO5739
Q9ZBR9	SCO5560
Q9K4A0	SCO5221
Q59829	SCO3920
P23154	SCO5315
P0A3H7	SCO5556
Q9RD27	SCO0883
Q9FCA2	SCO1211
Q9EWW8	SCO1758
Q9L2E9	SCO2470
O69969	SCO5793
Q93RW2	SCO1864
Q9KZK8	SCO3037
O87838	SCO6583
Q9ZBV4	SCO6564
O86751	SCO5648
Q9KZZ7	SCO4429
Q9ZBW0	SCO6558
Q9JN82	SCP1.233.2
Q9FBM4	SCO5055
Q9X8I0	SCO3400
Q9F3P9	SCO7638
O86820	SCO5760
Q9F2Q3	SCO3096
O54151	SCO5888
Q9Z4Y5	SCO3246
P72392	SCO2388
Q9S2N2	SCO2111
Q9FBM3	SCO5056
Q9FBX1	SCO7813
Q9FCD2	SCO1235
Q9FCD6	SCO1231
Q9FCD5	SCO1232
Q8CK11	SCO1966
Q9XAK7	SCO3595
Q06539	SCO4089
P35925	SCO3875
Q53868	SCO3922
Q53867	SCO3923
Q9ADP8	SCO4007
Q9RKM3	SCO4104
Q04296	SCO4628
Q9ZNB0	SCO0742
O69890	SCO5602
O86835	SCO5738
Q9ZBH3	SCO6440
Q9ZBH0	SCO6443
Q9ZBG3	SCO6450
Q9RJ87	SCO0678
Q9Z512	SCO1953
Q9L2L4	SCO2533
Q9XAK6	SCO3596
Q9FCI4	SCO5204
O86507	SCO5525
Q9FCD1	SCO1236
Q9X8J2	SCO3412
Q9FBN0	SCO5049
Q9FC36	SCO7047
Q9K407	SCO1326
O69851	SCO6021
O69852	SCO6022
O69833	SCO6045
Q9ZBI5	SCO6489
Q9L1P4	SCO6871
Q9ZBR6	SCO5563
P52230	SCO3889
Q9RJ68	SCO1633
Q9EX12	SCO1114
O86576	SCO5481
P0A4Q4	SCO5592
Q9KYS0	SCO5695
O54099	SCO5901
O54187	SCO5958
O69853	SCO6023
Q9FC38	SCO7045
Q9AK76	SCO4041
O86508	SCO5526
Q9RJD5	SCO0757
Q9FBV0	SCO7141
Q9FCD3	SCO1234
Q9KXP9	SCO1501
Q9ZBT9	SCO6149
Q9KXP2	SCO1508
Q9K3R5	SCO3149
P46785	SCO4722
Q9S281	SCO1808
Q9ZBX1	SCO3961
Q9KZA7	SCO4839
Q9WX29	SCO3304
P80735	SCO5254
P18183	SCO5820
P0A3Z7	SCO7432
O51917	SCO2633
Q9L278	SCO1531
Q9L0D6	SCO4706
Q9F323	SCO3795
Q9L290	SCO1519
Q9L289	SCO1520
Q9F2I9	SCO3792
Q9S2X5	SCO2076
P0A4G6	SCO3005
Q9S2X2	SCO2079
O86564	SCO5469
Q9X895	SCO3303
Q53955	SCO1516
P0A4G8	SCO4646
Q53956	SCO1515
Q9Z521	SCO1944
Q9EWX7	SCO1749
Q93JG0	SCO5967
O88054	SCO1594
P12690	SCO0409
Q9L2H9	SCO2504
O86528	SCO5547
O88055	SCO1595
Q9KZM1	SCO3023
Q9X8U2	SCO3906
Q9L291	SCO1518
O86793	SCO4752
Q53866	SCO3924
Q9K4F4	SCO4186
Q9F2U7	SCO4614
Q9KYP1	SCO4492
Q9K3Z0	SCO1343
Q04310	SCO4629
P41108	SCO4650
P41109	SCO4651
P40179	SCO4760
Q9EWV6	SCO4923
Q9EWW3	SCO4941
P52215	SCO3890
Q53936	SCO2725
Q9X8H1	SCO3348
O86788	SCO4747
Q9K4F9	SCO4179
Q9L0M4	SCO4636
Q9XAI3	SCO3619
P40180	SCO3672
P37977	SCO4036
Q06542	SCO4090
Q9RKB9	SCO3168
Q9L1I4	SCO2592
Q9L1I2	SCO2594
Q9L082	SCO2771
Q9RDA3	SCO2848
Q9X8H0	SCO3347
Q9X8H2	SCO3349
Q9Z520	SCO1945
Q9F305	SCO4111
Q9Z4W9	SCO3212
Q9X9Z8	SCO1794
Q9Z513	SCO1952
P16251	SCO2049
O05625	SCO2037
Q9AD90	SCO1677
Q9S266	SCO1686
