Reaction ID,Reaction name,kegg.reaction,biocyc,kegg.pathway,kegg.subsystem,biocyc.subsystem1,biocyc.subsystem2,subsystem,curated pathway,curated subsystem
BIOMASS_SCO,S. coelicolor biomass objective function - with 75.79 GAM estimate,,,,,,,Biomass and maintenance functions,,Biomass and maintenance functions
BIOMASS_SCO_tRNA,S. coelicolor biomass function with AA replaced by tRNA-AA,,,,,,,Biomass and maintenance functions,,Biomass and maintenance functions
CARBOHYDRATE_PSEUDO,Carbohydrate pseudoreaction,,,,,,,Biomass and maintenance functions,,Biomass and maintenance functions
CELL_WALL_PSEUDO,Cell wall pseudoreaction,,,,,,,Biomass and maintenance functions,,Biomass and maintenance functions
DNA_PSEUDO,DNA pseudoreaction,,,,,,,Biomass and maintenance functions,,Biomass and maintenance functions
LIPID_PSEUDO,Lipid pseudoreaction,,,,,,,Biomass and maintenance functions,,Biomass and maintenance functions
MISC_PSEUDO,Misc pseudoreaction,,,,,,,Biomass and maintenance functions,,Biomass and maintenance functions
PROTEIN_PSEUDO,Protein pseudoreaction,,,,,,,Biomass and maintenance functions,,Biomass and maintenance functions
PROTEIN_PSEUDO_tRNA,Protein pseudoreaction with tRNA-AA instead of AA,,,,,,,Biomass and maintenance functions,,Biomass and maintenance functions
RNA_PSEUDO,RNA pseudoreaction,,,,,,,Biomass and maintenance functions,,Biomass and maintenance functions
ATPM,ATP maintenance requirement,,,,Other,,,Biomass and maintenance functions,,Biomass and maintenance functions
PSEUDO_ACCEPTOR_NAD,Pseudoreaction converting nad to acceptor,,,,,,,,,Biomass and maintenance functions
PSEUDO_ACCEPTOR_NADP,Pseudoreaction converting nadp to acceptor,,,,,,,,,Biomass and maintenance functions
PSEUDO_DONOR_NADH,Pseudoreaction converting nadh to donor,,,,,,,,,Biomass and maintenance functions
PSEUDO_DONOR_NADPH,Pseudoreaction converting nadph to donor,,,,,,,,,Biomass and maintenance functions
11OXPENT,1-deoxy-11-oxopentalenate oxygenase,,RXN-12654,Pentalenalactone biosynthesis,Biosynthesis of other secondary metabolites,,,,Pentalenalactone biosynthesis,Biosynthesis of other secondary metabolites
1P4H2CDA,Delta1-pyrroline-4-hydroxy-2-carboxylate deaminase,R02280,3.5.4.22-RXN,Arginine and proline metabolism,Amino acid metabolism,Hydroxyprolines-Degradation,MISCELLANEOUS-DEG,,Arginine and proline metabolism,Amino acid metabolism
23DHBZS,"2,3-dihydroxybenzenesulfonate 2,3-dioxygenase",,RXN-13704,,,,,,Benzoate degradation,Xenobiotics biodegradation and metabolism
