Gene association,RxnID,RxnFormula,transport class,reversibility,lb,ub,annotation note for gene annotation
(SCO0137 or  SCO3196) and SCO1391 and SCO5841 ,FRUpts ,pep[c] + fru[e]  -> pyr[c] + f1p[c] ,PTS,false,0,1000,"BLAST alignment of FASTA sequences, SCO0137 or  SCO3196, Evalue=2e-04"
(SCO0836 or SCO2070) and SCO2656 and SCO4498 ,GLUt2r ,h[e] + glu__L[e]  <=> h[c] + glu__L[c] ,proton symport,true,-1000,1000,"SCO4498 coding for protein that has 90% identity on protein homology with e.g. S. ambofaciens. BLAST alignment of FASTA sequences e.g SCO4498 , SCO0836 Evalue=2.3"
SCO3826 or SCO5963 or SCO6330 or SCO7187 or SCO7196 or SCO7660,Kt2,h[e] + k[e]  -> h[c] + k[c] ,proton symport,false,0,1000,"KEGG for assigning functionality of SCO5963 and BLAST alignment of FASTA sequence e.g SCO3826 ,  SCO5963  Evalue=3e-11"
(SCO3698 or SCO6837) and (SCO7367 or SCO3577 or SCO3578 or SCO2128),ASO3t8 ,h2o[c] + atp[c] + aso3[c]  -> h[c] + adp[c] + pi[c] + aso3[e] ,ABC,false,0,1000,KEGG for assigning funtionality of SCO6837 and BLAST alignemnt of FASTA sequences e.g SCO3698 and SCO7367 Evalue=0.55 
SCO7002 or SCO5057 ,PTRCt2 ,h[e] + ptrc[e]  -> h[c] + ptrc[c] ,proton symport,false,0,1000,KEGG for assigning functionality of SCO7002 and BLAST alignment of FASTA sequences e.g SCO7002 or SCO5057 Evalue=2e-04
SCO6370 and SCO6739,CHLt2 ,h[e] + chol[e]  -> h[c] + chol[c] ,proton symport,false,0,1000,KEGG for assigning functionality of SCO6370 and BLAST alignment of FASTA sequences e.g. SCO6370 and SCO6739 Evalue=0.093
SCO0874 and ( SCO3024 or SCO3521 or SCO0776 or SCO1310 or SCO2772 or SCO6751),CD2t4,h[e] + cd2[c]  <=> h[c] + cd2[e] ,proton antiport,true,-1000,1000,KEGG for assigning functionality of SCO0874 and BLAST alignement of FASTA sequences e.g. SCO0874 and   SCO3024 Evalue=0.62
SCO2772 or SCO3024 or SCO3521  or  SCO0776 or SCO1310 or SCO2772 or SCO6751 ,COBALT2t3 ,h[e] + cobalt2[c]  -> h[c] + cobalt2[e] ,proton antiport,false,0,1000,KEGG for assigning functionality of SCO2772 and BLAST alignment of FASTA sequences e.g. SCO2772 or SCO0776 Evalue=2e-62
SCO2772 or SCO3024 or SCO3521  or  SCO0776 or SCO1310 or SCO2772 or SCO6751 ,ZN2t3,h[e] + zn2[c]  -> h[c] + zn2[e] ,proton antiport,false,0,1000,KEGG for assigning functionality of SCO2772 and BLAST alignment of FASTA sequences e.g. SCO2772 or SCO0776 Evlaue=2e-62 
(SCO2071 or SCO3185 or SCO3139 or SCO3564 or SCO3603 or SCO5246) and SCO1962,NAt3_15,3h[e] + 2na1[c]  ->3 h[c] + 2na1[e] ,proton antiport,false,0,1000,KEGG for assigning functionality of SCO2071 and SCO1962 and BLAST alignment of FASTA sequences e.g. SCO2071 or SCO3185 Evalue=6e-12 and e.g SCO1962 SCO2071 Evlaue=0.44
SCO2959 or SCO3809 or SCO0213,NO3t7,no3[e] + no2[c]  -> no2[e] + no3[c] ,facilitated antiport,false,0,1000,KEGG for assigning functionality of SCO2959 and BLAST alignment of FASTA sequences e.g. SCO2959 or SCO3809 Evalue=1.8
SCO3915 or SCO5578 or SCO7153 or SCO4007 or SCO4024 or SCO4265 or SCO4896 or SCO5947 ,GLCt2 ,glc__D[e] + h[e]  -> h[c] + glc__D[c] ,proton symport,false,0,1000,BLAST alignment of FASTA sequences e.g. SCO3915 or SCO5578 Evalue=5e-04
SCO6567 and SCO6646,ARBt2r ,h[e] + arab__L[e]  <=> h[c] + arab__L[c] ,proton symport,true,-1000,1000,KEGG for assigning functionality of SCO6567 and SCO6646 and BLAST alignment of FASTA sequences e.g. SCO6567 and SCO6646 Evalue=0.66
SCO6690 or SCO6809 or SCO6822 or SCO6896 or SCO6899 or SCO6970 or SCO7128 ,AKGt2r ,h[e] + akg[e]  <=> h[c] + akg[c] ,proton symport,true,-1000,1000,"BLAST alignment of FASTA sequences e.g. SCO6690, SCO7128 Evalue=2e-06"
(SCO0423 or SCO0839 or SCO2454 or SCO2519 or SCO3166 or SCO5084 or SCO5502 or SCO5905 or SCO6091 or SCO6666 or SCO7077 or SCO7090) and SCO5083,ACTt,2 nad[c] + act[c]  -> 2 nadh[c] + gact[e] ,facilitated symport,false,0,1000,TransportDB for assigning functionality for SCO0423 and BLAST alignment of FASTA sequences e.g. SCO0423 or  SCO5084 Evalue=2e-36
SCO3139 or SCO4437 or SCO0152  or SCO1218 ,INOSTt4 ,inost[e] + na1[e]  -> inost[c] + na1[c] ,sodium symport,false,0,1000,TransportDB for assigning  functionality for  SCO1218  and BLAST alignment pf FASTA sequences e.g. SCO3139 or SCO4437 Evalue=5e-22
SCO1632 and SCO1633 and SCO5150 and SCO3410 and SCO3410,THRt4 ,na1[e] + thr__L[e]  -> thr__L[c] + na1[c] ,sodium symport,false,0,1000,KEGG assigning functionality for SCO1632 and SCO1633 and BLAST alignment of FASTA sequences e.g. SCO1632 and SCO1633 Evalue=0.70
SCO0625 and SCO5436,MALt2_2 ,2 h[e] + mal__L[e]  -> 2 h[c] + mal__L[c] ,proton symport,false,0,1000,KEGG for assigning functionality of SCO0625 and BLAST alignment of FASTA sequences e.g. SCO0625 and SCO5436 Evalue=0.90
SCO0625 and SCO5436,SUCFUMt,succ[c] + fum[e]  <=> fum[c] + succ[e] ,facilitated symport,true,-1000,1000,KEGG for assigning functionality of SCO0625 and BLAST alignment of FASTA sequences e.g. SCO0625 and SCO5436 Evalue=0.90
(SCO2931 and SCO2930 and SCO2932 and SCO2933) or (SCO6062 and SCO6063 and SCO6064 and SCO6065) or (SCO0169 or SCO4770) ,GLYBabc ,h2o[c] + atp[c] + glyb[e]  -> h[c] + adp[c] + pi[c] + glyb[c] ,ABC,false,0,1000,"KEGG for assigning functionality of SCO2931 or SCO0169.  BLAST alignment of FASTA sequences e.g. SCO2931 , SCO169 Evalue=4e-04"
