RxnID,RxnFormula,RxnRev,lb,ub
HISpep_SINK,phis_L ->,false,0,1000
ASCpts_SINK,asc6p[c] ->,false,0,1000
Telu_SINK,Telu[c] ->,false,0,1000
FBae1_DEMAND,fb[c] ->,false,0,1000
FUSt_SINK, fus[c] ->,false,0,1000
INDIGt_SINK,indig[c] ->,false,0,1000
TPPt_SINK,TPP[c] ->,false,0,1000
PRNt_SINK,prn[c] ->,false,0,1000
MEMYt_SINK,memy[c ] ->,false,0,1000
Cyt_SINK,cy[c] ->,false,0,1000
ENTBACTINt_DEMAND,entbactin[c] ->,false,0,1000
OXOFORMATEt,oxoformate[c] ->,false,0,1000
CATECHOLopt_SINK,catechol[c] ->,false,0,1000
TELt_SINK,tel[c] ->,false,0,1000
FUCOSEt_SINK,fucose[c] ->,false,0,1000
RHMNabc_SINK,rmn[c ]->,false,0,1000
GLUCSt_SINK,glucs[c] ->,false,0,1000
DESabc_SINK, des[c] ->,false,0,1000
FENTEROabc_SINK,fentero[c] ->,false,0,1000
COBALabc_SINK,cobal[c] ->,false,0,1000
OMYCINabc_SINK,omycin[c] ->,false,0,1000
XYLBabc _SINK,xylb[c] ->,false,0,1000
ASO3abc_SINK,aso3[c] ->,false,0,1000
