Rxn,Rxn Name,Rxn KEGG ID,Reversibility in model,dG0_prime,dG0_prime_std,dGm_prime,dGm_prime_std
23PDE2e,"2',3'-cyclic-nucleotide phosphodiesterase (UMP)",R03538,forward,-34.318279823657264,2.8308757491454033,-34.318279823657264,2.8308757491454033
23PDE4e,"2',3'-cyclic-nucleotide phosphodiesterase (CMP)",R03929,forward,-33.99211692725058,2.8308757491454033,-33.99211692725058,2.8308757491454033
23PDE7e,"2',3'-cyclic-nucleotide phosphodiesterase (AMP)",R03537,forward,-33.99963325517561,2.8308757491454033,-33.99963325517561,2.8308757491454033
23PDE9e,"2',3'-cyclic-nucleotide phosphodiesterase (GMP)",R05135,forward,-33.97355626109541,2.8308757491454033,-33.97355626109541,2.8308757491454033
2OH3EDISO,2-oxohept-3-enedioate isomerase,R04134,forward,0.0005787416629345898,0.0,0.0005787416629345898,0.0
2OXOADOX,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating),R01933,forward,-41.45068384133623,11.21169311916973,-41.45068384133623,11.21169311916973
34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,R02521,forward,-538.7175248528832,13.434278820651407,-538.7175248528832,13.434278820651407
3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),R04428,forward,-154.80662963113733,7.579530340300436,-154.80662963113733,7.579530340300436
3HBCOADH,3-hydroxybutyryl-CoA dehydrogenase;acetoacetyl-CoA reductase,R01977,forward,-19.44490522354704,3.6527465700269106,-19.44490522354704,3.6527465700269106
3HBCOAHL,3-hydroxyisobutyryl-CoA hydrolase,R05064,reversible,-25.035709612485817,7.69579242609314,-42.15054714720685,7.69579242609314
3NTD2e,3'-nucleotidase (UMP),R01877,forward,-13.379997865382165,8.003896772236269,-30.4948354001032,8.003896772236269
3NTD4e,3'-nucleotidase (CMP),R02370,forward,-21.267037308314926,8.01455587564157,-38.38187484303596,8.01455587564157
3NTD7e,3'-nucleotidase (AMP),R01562,forward,-15.512687607927091,7.247609956198813,-32.627525142648125,7.247609956198813
3OADPCOAT,3-oxoadipate CoA-transferase,R02990,forward,-3.172359176482587,7.69139980057999,-3.172359176482587,7.69139980057999
3OXCOAT,3-oxoadipyl-CoA thiolase,R00829,forward,-29.748390482024206,8.459445739391413,-29.748390482024206,8.459445739391413
3OXOR,malonate-semialdehyde dehydrogenase,R01604,forward,-28.184568286641166,8.320744741342592,-28.184568286641166,8.320744741342592
4HGLSD,L-4-hydroxyglutamate semialdehyde dehydrogenase,R05051,forward,-36.97886226545779,1.0588997252238437,-36.97886226545779,1.0588997252238437
4HTHRS,4-Hydroxy-L-threonine synthase,R05086,forward,-13.986342972303646,0.7327141857603083,-31.10118050702468,0.7327141857603083
5DGLCNR,5-dehydro-D-gluconate reductase,R01740,reversible,-26.35837448998518,7.710093207442265,-26.35837448998518,7.710093207442265
AACOATi,Acetoacetyl-CoA:acetate CoA-transferase,R01357,forward,1.2469508495830723,1.6276642353029511,1.2469508495830723,1.6276642353029511
ABPYRATA,4-aminobutyrate aminotransferase,R10178,forward,6.325429777651408,1.716872109654437,6.325429777651408,1.716872109654437
ABT2DG,L-arabinitol 2-dehydrogenase,R02441,reversible,19.831118426191495,7.42435168165357,19.831118426191495,7.42435168165357
ABTA,4-aminobutyrate transaminase,R01648,forward,6.101737141080093,1.6309356259394199,6.101737141080093,1.6309356259394199
ABTD,L-arabinitol 4-dehydrogenase,R01903,reversible,29.81112682110762,7.478462215848707,29.81112682110762,7.478462215848707
ABTDG,D-arabinitol 4-dehydrogenase (NAD),R05604,forward,12.531118397708155,3.799511797843823,12.531118397708155,3.799511797843823
ABUTD,Aminobutyraldehyde dehydrogenase,R02549,forward,-47.62825250766767,7.299275497164559,-47.62825250766767,7.299275497164559
ACACT1r,acetyl-CoA C-acetyltransferase,R00238,reversible,26.130969588496782,1.3276213361868845,26.130969588496782,1.3276213361868845
ACACT2r,acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),R01177,reversible,35.26484383484194,8.316875527233755,35.26484383484194,8.316875527233755
ACACT3r,acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),R04747,reversible,32.709184822808766,1.4178782159886363,32.709184822808766,1.4178782159886363
ACACT4r,acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),R03778,reversible,32.69997026609394,1.4178782159886363,32.69997026609394,1.4178782159886363
ACACT5r,acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),R04742,reversible,32.6999702660944,1.4178782159886363,32.6999702660944,1.4178782159886363
ACACT6r,acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r),R03858,reversible,32.69997026609485,1.4178782159886363,32.69997026609485,1.4178782159886363
ACACT7r,acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),R03991,reversible,32.699970266094624,1.4178782159886363,32.699970266094624,1.4178782159886363
ACCOAC,acetyl-CoA carboxylase,R00742,forward,-3.6709466449588035,2.0236428248161715,-3.6709466449588035,2.0236428248161715
ACGAMK,N-acetylglucosamine kinase,R01201,forward,-11.396935793339026,2.6554186311144137,-11.396935793339026,2.6554186311144137
ACGK,acetylglutamate kinase,R02649,forward,30.26813483884939,7.947108226458132,30.26813483884939,7.947108226458132
ACGS,N-acetylglutamate synthase,R00259,forward,-27.71076589521823,3.8811527095469036,-27.71076589521823,3.8811527095469036
ACHBS,2-aceto-2-hydroxybutanoate synthase,R08648,forward,-30.334956735428364,10.959007003572001,-30.334956735428364,10.959007003572001
ACKr,acetate kinase,R00315,reversible,13.401255900908836,0.9494255372138839,13.401255900908836,0.9494255372138839
ACLS,acetolactate synthase,R00226,forward,-40.6948720297666,10.466630901693936,-40.6948720297666,10.466630901693936
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,R08555,forward,-5.9557023308575765,8.300595947372793,-23.07053986557861,8.300595947372793
ACOAD1f,acyl-CoA dehydrogenase (butanoyl-CoA),R01175,reversible,39.96937088837467,10.73188746646881,39.96937088837467,10.73188746646881
ACOAD2f,acyl-CoA dehydrogenase (hexanoyl-CoA),R04751,reversible,45.15956702418816,10.908294127882044,45.15956702418816,10.908294127882044
ACOAD3f,acyl-CoA dehydrogenase (octanoyl-CoA),R03777,reversible,46.2888128784698,6.4554774084417605,46.2888128784698,6.4554774084417605
ACOAD4f,acyl-CoA dehydrogenase (decanoyl-CoA),R04754,reversible,46.28881287846957,6.4554774084417605,46.28881287846957,6.4554774084417605
ACOAD5f,acyl-CoA dehydrogenase (dodecanoyl-CoA),R03857,reversible,46.28881287847014,6.4554774084417605,46.28881287847014,6.4554774084417605
ACOAD6f,acyl-CoA dehydrogenase (tetradecanoyl-CoA),R03990,reversible,46.28881287847037,6.4554774084417605,46.28881287847037,6.4554774084417605
ACOAD7f,acyl-CoA dehydrogenase (hexadecanoyl-CoA),R01279,reversible,48.42918831056875,11.332835707944891,48.42918831056875,11.332835707944891
ACODA,N-acetylornithinase;acetylornithine deacetylase,R00669,reversible,0.8466210032172228,3.797775244461199,-16.26821653150381,3.797775244461199
ACONIs,aconitate isomerase (spontaneous),R02244,reversible,3.6721519163830862,7.289558167809146,3.6721519163830862,7.289558167809146
ACONTa,"aconitase (half-reaction A, Citrate hydro-lyase)",R01325,reversible,8.314405544206949,1.7632915006480696,8.314405544206949,1.7632915006480696
ACONTb,"aconitase (half-reaction B, Isocitrate hydro-lyase)",R01900,reversible,-0.6850287439321221,1.7244016490666507,-0.6850287439321221,1.7244016490666507
ACOTA,acetylornithine transaminase,R02283,reversible,-11.562924450763887,8.5258305073264,-11.562924450763887,8.5258305073264
ACS,acetyl-CoA synthetase,R00235,forward,-4.472773446462725,0.8634602896060661,-4.472773446462725,0.8634602896060661
ACS2,acetyl-CoA synthase (propionate),R00925,forward,6.167071887426346,3.0563238654214095,6.167071887426346,3.0563238654214095
ACTCOALIG,acetate-CoA ligase (ADP-forming),R00229,reversible,3.5835945049325346,0.7289169688098303,3.5835945049325346,0.7289169688098303
ACTS14,actVI dehydratase,R09308,forward,-69.84716006275077,3.839148191488782,-69.84716006275077,3.839148191488782
ACTS15,actVI oxidoreductase,R06695,forward,18.626718534463635,3.405058829812898,18.626718534463635,3.405058829812898
ACTS16,actVA-5/actVB monooxygenase,R06696,forward,-385.93452634141414,7.7288258684820175,-368.8196888066931,7.7288258684820175
ADA,Adenosine deaminase,R01560,forward,-22.955257481733668,1.5164144735205438,-40.0700950164547,1.5164144735205438
ADCL,4-aminobenzoate synthase,R05553,forward,-61.396093291098936,13.912968897107223,-78.51093082581997,13.912968897107223
ADCS,4-amino-4-deoxychorismate synthase,R01716,forward,-16.245891661077394,3.704262788500038,-16.245891661077394,3.704262788500038
ADK1,adenylate kinase,R00127,reversible,-2.5547565850516776,0.39097316789703357,-2.5547565850516776,0.39097316789703357
ADMDC,adenosylmethionine decarboxylase,R00178,forward,-30.779283306636046,7.506705984644813,-47.89412084135708,7.506705984644813
ADNCYC,adenylate cyclase,R00089,forward,7.0459642279001855,2.5076049491830847,-10.068873306820848,2.5076049491830847
ADNK1,adenosine kinase,R00185,forward,-12.195615299638007,1.5484868207979934,-12.195615299638007,1.5484868207979934
ADNUC,adenosine hydrolase,R01245,forward,-4.870806568001626,2.2328216777425434,-21.98564410272266,2.2328216777425434
ADPRDP,ADPribose diphosphatase,R01054,forward,-22.22846047432938,7.4217904739687866,-39.343298009050415,7.4217904739687866
ADPT,adenine phosphoribosyltransferase,R00190,forward,-17.150173532111808,1.8093625591650815,-17.150173532111808,1.8093625591650815
ADPT2,Adenine phosphoribosyltransferase,R04378,forward,-30.474284739446944,9.033495517989136,-30.474284739446944,9.033495517989136
ADSK,adenylyl-sulfate kinase,R00509,forward,-13.66997758829234,7.493028216008429,-13.66997758829234,7.493028216008429
ADSL1r,adenylsuccinate lyase,R01083,reversible,10.103373588556224,2.9694488952617344,-7.01146394616481,2.9694488952617344
ADSL2r,adenylosuccinate lyase,R04559,reversible,12.284545472484751,3.600072267096502,-4.830292062236282,3.600072267096502
ADSS,adenylosuccinate synthase,R01135,forward,11.486927435413122,3.5034624485476757,11.486927435413122,3.5034624485476757
AGDC,N-acetylglucosamine-6-phosphate deacetylase,R02059,forward,-6.928397261822084,4.128912574394755,-24.043234796543118,4.128912574394755
AGMDA,agmatine deiminase,R01416,forward,-35.70038697555637,4.173733050405137,-52.8152245102774,4.173733050405137
AGMT,agmatinase,R01157,forward,-57.68939110404522,4.5685572668428005,-74.80422863876626,4.5685572668428005
AGPR,N-acetyl-g-glutamyl-phosphate reductase,R03443,reversible,7.83427846350196,1.1361768205663099,24.949115998222993,1.1361768205663099
