Reaction ID;Reaction;Direction;dG
ADNCYC;atp_c <=> camp_c + ppi_c;Forward;
GALKr;atp_c + gal_aD_c <=> adp_c + gal1p_c + h_c;Forward;-4.71143082
PGK;3pg_c + atp_c <=> 13dpg_c + adp_c;Reversible;18.4529793
PYK;adp_c + h_c + pep_c <=> atp_c + pyr_c;Forward;-27.68097456
CYTK2;atp_c + dcmp_c <=> adp_c + dcdp_c;Forward;-3.14572158
PRPPS;atp_c + r5p_c <=> amp_c + h_c + prpp_c;Reversible;0.35831674
CDPMEK;4c2me_c + atp_c <=> 2p4c2me_c + adp_c + h_c;Forward;-5.27396844
NDPK9;atp_c + idp_c <=> adp_c + itp_c;Reversible;3.72794025
CBIAT;atp_c + cbi_c + h_c <=> adocbi_c + pppi_c;Forward;
UGMDDS;alaala_c + atp_c + ugmd_c <=> adp_c + h_c + pi_c + ugmda_c;Forward;-28.36940578
DBTS;atp_c + co2_c + dann_c <=> adp_c + dtbt_c + 3.0 h_c + pi_c;Reversible;18.64964611
DPCOAK;atp_c + dpcoa_c <=> adp_c + coa_c + h_c;Reversible;3.65935799
PTPATi;atp_c + h_c + pan4p_c <=> dpcoa_c + ppi_c;Forward;-17.36103607
ADNK1;adn_c + atp_c <=> adp_c + amp_c + h_c;Forward;-12.1956153
SHKK;atp_c + skm_c <=> adp_c + h_c + skm5p_c;Forward;-5.2430921
PACCOAL;atp_c + coa_c + pac_c <=> amp_c + phaccoa_c + ppi_c;Forward;-11.11201003
CBLAT;atp_c + cbl1_c + h_c <=> adocbl_c + pppi_c;Forward;
ACS;ac_c + atp_c + coa_c <=> accoa_c + amp_c + ppi_c;Forward;-4.47277345
D5KGK;atp_c + d5kg_c <=> adp_c + d5kgp_c + h_c;Forward;-14.58201049
MCCC;3mb2coa_c + atp_c + hco3_c <=> 3mgcoa_c + adp_c + h_c + pi_c;Forward;-9.11271967
DHAK;atp_c + dha_c <=> adp_c + dhap_c + h_c;Forward;-13.73099047
ACS2;atp_c + coa_c + ppa_c <=> amp_c + ppcoa_c + ppi_c;Reversible;6.16707189
UMPK;atp_c + ump_c <=> adp_c + udp_c;Forward;-5.14427246
