Rxn,MetaCyc,Equilibrator_deltaG,Equilibrator_stdev
ACTS14,Irreversible,-69.8,7.2
ACTS15,,19.6,6.4
ACTS16,Irreversible,-402.3,6.9
ALAD_L,Irreversible,37.7,1.1
ALAR,Reversible,-0.0,2.0
ALATA_L,Reversible,-0.2,1.1
APAT2r,Reversible,-4.2,5.9
ASNN,Irreversible,-16.4,7.0
ASNS1,Irreversible,-29.5,7.2
ASPO1,Irreversible,-92.6,8.3
ASPTA,Reversible,2.9,1.1
3OXCOAT,Irreversible,29.7,16.0
5DGLCNR,Reversible,26.4,6.5
ACM6PH,Reversible,6.0,7.8
ACS2,Irreversible,6.2,5.8
ADNUC,Irreversible,-4.9,3.5 
AGDC,Irreversible,-6.9,7.5
ALCD19,Irreversible,39.6,4.0
ALCD19y,,40.6,4.0
ALDD1,Irreversible,-43.0,3.9
ALDD19xr,Reversible,-35.4,5.9
ALDD2x,Irreversible,-47.0,2.6
ALLTAMH2,Irreversible,6.8,16.6
ARAI,,-3.3,3.1
BGLA,,-12.9,3.7
CYTDH,Irreversible,1.5,8.4
ABTDG,Irreversible,12.5,7.2
DCH,Irreversible,-30.9,10.8 
DDGLK,Irreversible,-20.5,7.7
DHACOAH,Reversible,-0.7,2.9
DHAK,Irreversible,-13.7,4.3 
D4DGCD,Irreversible,-70.4,6.4
DRBK,Irreversible,-33.3,4.7
DRPA,Reversible,3.1,3.0
DTARTD,Irreversible,-35.3,3.9
EPMGH,,-14.1,5.6
FDH,Reversible,-14.1,6.5
FORCT,Reversible,1.6,11.4
G3PD2,Irreversible,27.4,1.6
G6PDA,Reversible,-14.9,4.1
GAL6PI,Reversible,-1.4,4.9
GALCTND,Irreversible,-41.9,2.4
GALIGH,,-21.6,4.6
GALS3,Irreversible,-27.8,3.3
GGLGH,,-20.5,5.9
GLCRAL,Reversible,4.7,5.5
GLCRD,Irreversible,-41.9,2.4
GLYALDDr,Irreversible,-49.4,3.1
GLYCDx,Reversible,24.6,3.6
GLYCTO1,Irreversible,-88.8,8.4
GLYK,Reversible,-15.6,4.1
GNK,Irreversible,-10.1,6.4
HADPCOADH3,Reversible,20.6,1.9
HEX4,Irreversible,-16.8,2.8
HEX7,Irreversible,-22.6,2.9
HPYRI,Reversible,1.4,3.4
IDOND,Irreversible,-20.6,1.9
IDOND2,Irreversible,-21.6,2.0 
LACZ,,-28.0,2.1
LCADi,Irreversible,-45.8,4.0
LYXI,Reversible,-12.7,4.9
MALT,Irreversible,-31.7,3.1
MALTATr,Irreversible,-2.7,7.2
MAN6PI,Reversible,-0.7,2.3
MELTGH,,-15.6,5.8
MNLDH2,Reversible,18.4,3.6
MTI,Reversible,2.9,3.6
