Rxn,Rxn Name,Rxn KEGG ID,Reversibility in model,dG0_prime,delta_dG0_prime,dGm_prime,delta_dGm_prime
23PDE2e,"2',3'-cyclic-nucleotide phosphodiesterase (UMP)",R03538,forward,-34.31827982365735,2.8308757491454033,-34.31827982365735,2.8308757491454033
23PDE4e,"2',3'-cyclic-nucleotide phosphodiesterase (CMP)",R03929,forward,-33.99211692725055,2.8308757491454033,-33.99211692725055,2.8308757491454033
23PDE7e,"2',3'-cyclic-nucleotide phosphodiesterase (AMP)",R03537,forward,-33.99963325517561,2.8308757491454033,-33.99963325517561,2.8308757491454033
23PDE9e,"2',3'-cyclic-nucleotide phosphodiesterase (GMP)",R05135,forward,-33.97355626109541,2.8308757491454033,-33.97355626109541,2.8308757491454033
2OH3EDISO,2-oxohept-3-enedioate isomerase,R04134,forward,0.0005787416629345898,0.0,0.0005787416629345898,0.0
2OXOADOX,2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating),R01933,forward,-41.45068384133606,11.21169311916973,-41.45068384133606,11.21169311916973
34HPPOR,4-Hydroxyphenylpyruvate:oxygen oxidoreductase,R02521,forward,-538.7175248528831,13.434278820651407,-538.7175248528831,13.434278820651407
3HAD40,3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0),R04428,forward,-154.80662963113733,7.579530340300436,-154.80662963113733,7.579530340300436
3HBCOADH,3-hydroxybutyryl-CoA dehydrogenase;acetoacetyl-CoA reductase,R01977,forward,-19.44490522354704,3.6527465700269106,-19.44490522354704,3.6527465700269106
3HBCOAHL,3-hydroxyisobutyryl-CoA hydrolase,R05064,reversible,-25.035709612485817,7.69579242609314,-42.15054714720685,7.69579242609314
3NTD2e,3'-nucleotidase (UMP),R01877,forward,-13.379997865382165,8.003896772236269,-30.4948354001032,8.003896772236269
3NTD4e,3'-nucleotidase (CMP),R02370,forward,-21.267037308314926,8.01455587564157,-38.38187484303596,8.01455587564157
3NTD7e,3'-nucleotidase (AMP),R01562,forward,-15.51268760792712,7.247609956198813,-32.62752514264815,7.247609956198813
3NTD9e,3'-nucleotidase (GMP),R02148,forward,-11.847700358699427,100000.00036277338,-28.96253789342046,100000.00036277338
3OADPCOAT,3-oxoadipate CoA-transferase,R02990,forward,-3.1723591764828143,7.69139980057999,-3.1723591764828143,7.69139980057999
3OXCOAT,3-oxoadipyl-CoA thiolase,R00829,forward,-29.748390482024433,8.459445739391413,-29.748390482024433,8.459445739391413
3OXOR,malonate-semialdehyde dehydrogenase,R01604,forward,-28.184568286641138,8.320744741342592,-28.184568286641138,8.320744741342592
4HGLSD,L-4-hydroxyglutamate semialdehyde dehydrogenase,R05051,forward,-36.97886226545768,1.0588997252238437,-36.97886226545768,1.0588997252238437
4HTHRS,4-Hydroxy-L-threonine synthase,R05086,forward,-13.986342972303675,0.7327141857603083,-31.101180507024708,0.7327141857603083
4HXPUHBT,4-hydroxyphenylpyruvate:5-amino-6-(D-ribitylamino)uracil 4-hydroxybenzyltransferase,R09396,reversible,-170.2258751844702,100000.00099261674,-204.45555025391226,100000.00099261674
5DGLCNR,5-dehydro-D-gluconate reductase,R01740,reversible,-26.358374489984726,7.710093207442265,-26.358374489984726,7.710093207442265
AACOATi,Acetoacetyl-CoA:acetate CoA-transferase,R01357,forward,1.2469508495830723,1.6276642353029511,1.2469508495830723,1.6276642353029511
ABPYRATA,4-aminobutyrate aminotransferase,R10178,forward,6.3254297776513795,1.716872109654437,6.3254297776513795,1.716872109654437
ABT2DG,L-arabinitol 2-dehydrogenase,R02441,reversible,19.831118426191495,7.42435168165357,19.831118426191495,7.42435168165357
ABTA,4-aminobutyrate transaminase,R01648,forward,6.101737141080093,1.6309356259394199,6.101737141080093,1.6309356259394199
ABTD,L-arabinitol 4-dehydrogenase,R01903,reversible,29.81112682110762,7.478462215848707,29.81112682110762,7.478462215848707
ABTDG,D-arabinitol 4-dehydrogenase (NAD),R05604,forward,12.531118397708155,3.799511797843823,12.531118397708155,3.799511797843823
ABUTD,Aminobutyraldehyde dehydrogenase,R02549,forward,-47.62825250766781,7.299275497164559,-47.62825250766781,7.299275497164559
ACACT1r,acetyl-CoA C-acetyltransferase,R00238,reversible,-1829.485507474886,15.130789299072616,-1846.600345009607,15.130789299072616
ACACT2r,acetyl-CoA C-acyltransferase (butanoyl-CoA) (r),R01177,reversible,35.26484383484171,8.316875527233755,35.26484383484171,8.316875527233755
ACACT3r,acetyl-CoA C-acyltransferase (hexanoyl-CoA) (r),R04747,reversible,32.709184822808766,1.4178782159886363,32.709184822808766,1.4178782159886363
ACACT4r,acetyl-CoA C-acyltransferase (octanoyl-CoA) (r),R03778,reversible,32.69997026609394,1.4178782159886363,32.69997026609394,1.4178782159886363
ACACT5r,acetyl-CoA C-acyltransferase (decanoyl-CoA) (r),R04742,reversible,32.6999702660944,1.4178782159886363,32.6999702660944,1.4178782159886363
ACACT6r,acetyl-CoA C-acyltransferase (dodecanoyl-CoA) (r),R03858,reversible,32.69997026609485,1.4178782159886363,32.69997026609485,1.4178782159886363
ACACT7r,acetyl-CoA C-acyltransferase (tetradecanoyl-CoA) (r),R03991,reversible,32.69997026609485,1.4178782159886363,32.69997026609485,1.4178782159886363
ACCOAC,acetyl-CoA carboxylase,R00742,forward,-3.670946644958576,2.0236428248161715,-3.670946644958576,2.0236428248161715
ACGAMK,N-acetylglucosamine kinase,R01201,forward,-11.396935793339253,2.6554186311144137,-11.396935793339253,2.6554186311144137
ACGK,acetylglutamate kinase,R02649,forward,30.26813483884939,7.947108226458132,30.26813483884939,7.947108226458132
ACGS,N-acetylglutamate synthase,R00259,forward,-27.7107658952184,3.8811527095469036,-27.7107658952184,3.8811527095469036
ACHBS,2-aceto-2-hydroxybutanoate synthase,R08648,forward,-30.334956735428364,10.959007003572001,-30.334956735428364,10.959007003572001
ACKr,acetate kinase,R00315,reversible,13.401255900908836,0.9494255372138839,13.401255900908836,0.9494255372138839
ACLS,acetolactate synthase,R00226,forward,-386.5170091240275,10.375451353370572,-403.6318466587485,10.375451353370572
ACM6PH,N-acetylmuramate 6-phosphate hydrolase,R08555,forward,-5.955702330857548,8.300595947372793,-23.07053986557858,8.300595947372793
ACOAD1f,acyl-CoA dehydrogenase (butanoyl-CoA),R01175,reversible,39.96937088837467,10.73188746646881,39.96937088837467,10.73188746646881
ACOAD2f,acyl-CoA dehydrogenase (hexanoyl-CoA),R04751,reversible,45.15956702418816,10.908294127882044,45.15956702418816,10.908294127882044
ACOAD3f,acyl-CoA dehydrogenase (octanoyl-CoA),R03777,reversible,46.2888128784698,6.4554774084417605,46.2888128784698,6.4554774084417605
ACOAD4f,acyl-CoA dehydrogenase (decanoyl-CoA),R04754,reversible,46.28881287846957,6.4554774084417605,46.28881287846957,6.4554774084417605
ACOAD5f,acyl-CoA dehydrogenase (dodecanoyl-CoA),R03857,reversible,46.28881287847014,6.4554774084417605,46.28881287847014,6.4554774084417605
ACOAD6f,acyl-CoA dehydrogenase (tetradecanoyl-CoA),R03990,reversible,46.28881287847037,6.4554774084417605,46.28881287847037,6.4554774084417605
ACOAD7f,acyl-CoA dehydrogenase (hexadecanoyl-CoA),R01279,reversible,48.42918831056875,11.332835707944891,48.42918831056875,11.332835707944891
ACOATA,Acetyl-CoA ACP transacylase,R01624,reversible,59.274226172716,282842.71247855324,59.274226172716,282842.71247855324
ACODA,N-acetylornithinase;acetylornithine deacetylase,R00669,reversible,0.8466210032172228,3.797775244461199,-16.26821653150381,3.797775244461199
ACONIs,aconitate isomerase (spontaneous),R02244,reversible,3.6721519163830862,7.289558167809146,3.6721519163830862,7.289558167809146
ACONMT,Trans-aconitate methyltransferase,R05763,forward,57.71516337477021,100000.00011299303,57.71516337477021,100000.00011299303
