Reaction ID	Reaction name	KEGG annotation	New ID	MNXID	BIGGID
RXN__45__17569	acetone 1-monooxygenase			MNXR121004	
RXN__45__8783	gluconolactonase	R02933		MNXR100250	GLNLASEer
FUCPALDOL__45__RXN	L-fuculose-phosphate aldolase;fuculose-1-phosphate aldolase	R02262		MNXR99470	FCLPA
TRE6PHYDRO__45__RXN	trehalose-6-phosphate hydrolase	R00837		MNXR104925	TRE6PH
RXN__45__17568	propane 2-monooxygenase	R10702		MNXR114022	
2__46__7__46__1__46__121__45__RXN	dihydroxyacetone kinase	R01012		MNXR97364	DHAPT
BENZOYLFORMATE__45__DECARBOXYLASE__45__RXN	benzoylformate carboxy-lyase	R01764		MNXR107162	
RXN__45__18387	4-hydroxybutyrate:CoA ligase (ADP-forming)	R10758		MNXR114074	
BETA__45__UREIDOPROPIONASE__45__RXN	beta-ureidopropionase;beta-alanine synthase	R00905		MNXR96347	UPPN
RXN__45__11565	carboxynorspermidine dehydrogenase	R09080		MNXR112525	
STREPTOMYCIN__45__6__45__KINASE__45__RXN	streptomycin 6-kinase	R02225		MNXR107388	
SS__45__BUTANEDIOL__45__DEHYDROGENASE__45__RXN	"(S,S)-butanediol dehydrogenase;[(S,S)-2,3-butanediol-forming]-(S)-acetoin reductase;(S)-acetoin reductase [(S,S)-2,3-butanediol forming];[(S)-acetoin forming]-(S,S)-2,3-butanediol dehydrogenase"	R02344		MNXR108359	
RXN__45__11081	decaprenyl-phosphoryl-2-keto-beta-D-erythro-pentofuranose reductase;decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase	R10113		MNXR113488	
SOLDEHYD__45__RXN	4-sulfobenzyl alcohol dehydrogenase	R05271		MNXR109444	
RXN__45__15902	D-galactarolactone cycloisomerase	R10847		MNXR114162	
GUANIDINOBUTYRASE__45__RXN	guanidinobutyrase;guanidinobutyrate amidinohydrolase	R01990		MNXR100467	GUDBUTNAH
RXN__45__11080	decaprenylphospho-beta-D-ribofuranose 2-dehydrogenase	R10112		MNXR113487	
RXN__45__12931	"dTDP-4-oxo-2,6-dideoxy-D-glucose 3-C-methyltransferase"			MNXR117811	
RXN__45__12398	XXLG xyloglucan oligosaccharide beta-galactosidase			MNXR117526	
MHPHYDROXY__45__RXN	3-(3-hydroxyphenyl)propanoate hydroxylase	R06786		MNXR94903	3HPPPNH
RXN__45__15819	(-)-dehydrodiconiferyl aldehyde dehydrogenase			MNXR119648	
AMINOBENZCOALIG__45__RXN	2-aminobenzoate-CoA ligase;anthranilate-CoA ligase;anthranilate-coenzyme A ligase	R00982		MNXR106771	
RXN__45__9990	cytidine 5'-monophosphate N-acetylneuraminate synthetase	R01117		MNXR123098	
UROPORIIIMETHYLTRANSA__45__RXN	uroporphyrin-III (C2)-methyltransferase;uroporphyrinogen-III (C2)-methyltransferase;uroporphyrinogen-III C-methyltransferase;S-adenosyl-L-methionine:uroporphyrinogen-III C-methyltransferase	R07237		MNXR110922	
RXN__45__8460	"4,5-DOPA dioxygenase extradiol;4,5-DOPA-dioxygenase"	"['R02075', 'R08836']"		MNXR107298	
RXN__45__9932	"3,3'-biflaviolin synthase"	R08912		MNXR112403	
RXN__45__13783_NADPH	ornithine N-hydroxylase (NADPH)	R10789		MNXR114105	
RXN__45__9931	"1,3,6,8-tetrahydroxynaphthalene synthase"	R10965		MNXR114272	
RXN__45__12752	NADHX epimerase	R10280		MNXR113637	
RXN__45__17129	hydroxysqualene synthase	R11410		MNXR114707	
RXN__45__10901	"(+)-(alphaS,betaS)-guaiacylglycerol-beta-guaiacyl ether dehydrogenase"			MNXR116580	
RXN__45__15586	"1,3,6,8-tetrahydroxynaphthalene monooxygenase (quinone-forming)"			MNXR119468	
RXN__45__17615	tert-butyl formate deformylase			MNXR121038	
RXN__45__1126	trans-caffeate:CoA ligase;caffeate coenzyme A ligase;caffeate-CoA ligase;trans-caffeate coenzyme A ligase;caffeoyl-CoA synthetase;trans-caffeate--CoA ligase	R01943		MNXR96446	CAFFCOA
FORMIMINOGLUTAMATE__45__DEIMINASE__45__RXN	formiminoglutamate deiminase	R02286		MNXR99617	FORGLUIH
RXN__45__10035	5-methylthioadenosine deaminase;S-methyl-5'-thioadenosine deaminase	R09660		MNXR113074	
FHLMULTI__45__RXN	formate hydrogenlyase complex			MNXR99594	FHL
RXN__45__15585	flaviolin monooxygenase			MNXR119467	
RXN__45__13072	2-oxoglutaramate amidase;2-ketoglutaramate amidase;2-oxoglutaramate omega-amidase	R00269	2OGLUAH	MNXR105306	r0085
RXN__45__12976	2-methylisoborneol synthase	R09973		MNXR113366	
RXN__45__15892_NADPH	"3,6-anhydro-L-galactose dehydrogenase (NADPH)"				
RXN__45__8582	4-tolualdehyde dehydrogenase			MNXR95031	4MBZDH
AMINO__45__CARBOXYMUCONATE__45__SEMIALDEHYDE__45__RXN	2-amino-3-carboxymuconate 6-semialdehyde decarboxylase;2-amino-3-carboxymuconate-6-semialdehyde decarboxylase;2-amino 3-carboxymuconate 6-semialdehyde decarboxylase;aminocarboxymuconate-semialdehyde decarboxylase	R04323		MNXR115698	
PYRIDOXINE__45__4__45__DEHYDROGENASE__45__RXN	pyridoxal reductase;pyridoxine 4-dehydrogenase/pyridoxal reductase	R01708		MNXR103366	PYDXOR
RXN__45__8024_NADPH	all-trans phytofluene desaturase (NADPH)	R04787			
RXN__45__663	cumic aldehyde dehydrogenase	R05235		MNXR109411	
LINC__45__RXN	"2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase"	R05243		MNXR109418	
RXN0__45__6727	(S)-NADHX dehydratase	R10267		MNXR113625	
RXN__45__11211	dihydrothymine hydrolase;dihydrothymine amidohydrolase;dihydrothyminidase	R03055		MNXR116784	
1__46__2__46__1__46__66__45__RXN	mycothiol-dependent formaldehyde dehydrogenase	R09129		MNXR112566	
RXN__45__16308	O-[5-(oxidonitroso)-4-oxocyclohex-2-en-1-ylidenenitroso]oxidanidolate reductase			MNXR120004	
DARABALDOL__45__RXN	D-ribulose-phosphate aldolase			MNXR115814	
RXN__45__8003_NADPH	cis-4-hydroxy-D-proline dehydrogenase;D-hydroxyproline dehydrogenase (NADPH)				
XYLONATE__45__DEHYDRATASE__45__RXN	D-xylonate dehydratase	R02429		MNXR107501	
RXN__45__15264	aminodeoxyfutalosine synthase	R10667		MNXR113988	
RXNARA__45__8002	phytoene synthase	R07270		MNXR108741	
RXN__45__17645	(25S)-3-oxocholest-4-en-26-oyl-CoA racemase			MNXR121061	
RXN__45__9832	S-1-(4-hydroxyphenyl)-ethanol dehydrogenase;cyclohexanol dehydrogenase	R06891		MNXR123017	
RXN__45__14536	2-chloroacrylate reductase	R10418		MNXR113760	
