Column1;Reaction ID;Reaction name;kegg.reaction;biocyc;kegg.pathway;kegg.subsystem;subsystem;curated pathway;curated subsystem
0;BIOMASS_SCO;S. coelicolor biomass objective function - with 75.79 GAM estimate;;;;;Biomass and maintenance functions;;
1;BIOMASS_SCO_tRNA;S. coelicolor biomass function with AA replaced by tRNA-AA;;;;;Biomass and maintenance functions;;
2;CARBOHYDRATE_PSEUDO;Carbohydrate pseudoreaction;;;;;Biomass and maintenance functions;;
3;CELL_WALL_PSEUDO;Cell wall pseudoreaction;;;;;Biomass and maintenance functions;;
4;DNA_PSEUDO;DNA pseudoreaction;;;;;Biomass and maintenance functions;;
5;LIPID_PSEUDO;Lipid pseudoreaction;;;;;Biomass and maintenance functions;;
6;MISC_PSEUDO;Misc pseudoreaction;;;;;Biomass and maintenance functions;;
7;PROTEIN_PSEUDO;Protein pseudoreaction;;;;;Biomass and maintenance functions;;
8;PROTEIN_PSEUDO_tRNA;Protein pseudoreaction with tRNA-AA instead of AA;;;;;Biomass and maintenance functions;;
9;RNA_PSEUDO;RNA pseudoreaction;;;;;Biomass and maintenance functions;;
10;ATPM;ATP maintenance requirement;;;;Other;Biomass and maintenance functions;;
11;PSEUDO_ACCEPTOR_NAD;Pseudoreaction converting nad to acceptor;;;;;;;
12;PSEUDO_ACCEPTOR_NADP;Pseudoreaction converting nadp to acceptor;;;;;;;
13;PSEUDO_DONOR_NADH;Pseudoreaction converting nadh to donor;;;;;;;
14;PSEUDO_DONOR_NADPH;Pseudoreaction converting nadph to donor;;;;;;;
15;11OXPENT;1-deoxy-11-oxopentalenate oxygenase;;RXN-12654;;;;;
16;1P4H2CDA;Delta1-pyrroline-4-hydroxy-2-carboxylate deaminase;R02280;3.5.4.22-RXN;;;;;
17;23DHBZS;2,3-dihydroxybenzenesulfonate 2,3-dioxygenase;;RXN-13704;;;;;
18;23LGALAC;2-dehydro-3-deoxy-L-galactonate 5-dehydrogenase;;RXN-16964;;;;;
19;23PDE2e;2',3'-cyclic-nucleotide phosphodiesterase (UMP);R03538;RXN-14091;Pyrimidine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
20;23PDE4e;2',3'-cyclic-nucleotide phosphodiesterase (CMP);R03929;RXN-14112;Pyrimidine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
21;23PDE7e;2',3'-cyclic-nucleotide phosphodiesterase (AMP);R03537;RXN-14113;Purine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
22;23PDE9e;2',3'-cyclic-nucleotide phosphodiesterase (GMP);R05135;RXN-14064;Purine metabolism;Nucleotide metabolism;Nucleotide Salvage Pathway;;
23;24DCLPMO;"2,4-dichlorophenol 6-monooxygenase;2,4-dichlorophenol monooxygenase";R03997;24-DICHLOROPHENOL-6-MONOOXYGENASE-RXN;;;;;
24;24DCOAR;2,4-dienoyl-CoA reductase;;DIENOYLCOAREDUCT-RXN;;;;;
25;24DHX5M6OI;2,4-dihydroxy-5-methyl-6-oxohexa-2,4-dienoate isomerase;;RXN-17165;;;;;
26;25DBUT;L-2,4-diaminobutyrate decarboxylase;R07650;4.1.1.86-RXN;;;;;
27;2A3MUCSD;"2-amino-3-carboxymuconate 6-semialdehyde decarboxylase;2-amino-3-carboxymuconate-6-semialdehyde decarboxylase;2-amino 3-carboxymuconate 6-semialdehyde decarboxylase;aminocarboxymuconate-semialdehyde decarboxylase";R04323;AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN;;;;;
28;2ABZMOx;2-amninobenzoyl-CoA monooxygenase/reductase (NADH);R03998;ANTHRANILOYL-COA-MONOOXYGENASE-RXN;;;;;
29;2ABZMOy;2-amninobenzoyl-CoA monooxygenase/reductase (NADPH);R03999;ANTHRANILOYL-COA-MONOOXYGENASE-RXN_NADPH;;;;;
30;2AMUCSAD;"2-aminomucoate semialdehyde dehydrogenase;2-aminomuconate 6-semialdehyde dehydrogenase;2-aminomuconate semialdehyde dehydrogenase;2-aminomuconic 6-semialdehyde dehydrogenase;2-aminomuconate-semialdehyde dehydrogenase";R03889;1.2.1.32-RXN;;;;;
31;2CLRED;2-chloroacrylate reductase;;RXN-14536;;;;;
32;2D3DGLUCDH;"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase;2,5-didehydro-3-deoxy-L-galactonate 5-reductase;2-keto-3-deoxy-D-gluconate dehydrogenase";R01542;1.1.1.127-RXN;;;;;
33;2DHGLCK;2-ketogluconokinase;R02658;DEHYDOGLUCONOKINASE-RXN;;;;;
34;2FURAPS;2-furaldehyde phosphate synthase;;RXN-15946;;;;;
35;2K3DRHAM;2-keto-3-deoxy-L-rhamnonate 4-dehydrogenase;;RXN-12095;;;;;
36;2MBCOATA;2-Methyl-butanoyl-CoA-ACP transacylase;;;;Lipid metabolism;Membrane Lipid metabolism;;
37;2METBOD;2-methylisoborneol synthase;;RXN-12976;;;;;
38;2OGLUAH;"2-oxoglutaramate amidase;2-ketoglutaramate amidase;2-oxoglutaramate omega-amidase";R00269;RXN-13072;;;;;
39;2OH3EDISO;2-oxohept-3-enedioate isomerase;R04134;RXN1K-87;;;;;
40;2OXOADOX;2-Oxoadipate:lipoamde 2-oxidoreductase(decarboxylating and acceptor-succinylating);R01933;2-KETO-ADIPATE-DEHYDROG-RXN;Tryptophan metabolism;Amino acid metabolism;Threonine and Lysine metabolism;;
41;33BIFLAV;3,3'-biflaviolin synthase;R08912;RXN-9932;;;;;
42;34HPPOR;4-Hydroxyphenylpyruvate:oxygen oxidoreductase;R02521;;['Ubiquinone and other terpenoid-quinone biosynthesis', 'Tyrosine metabolism'];['Metabolism of cofactors and vitamins', 'Amino acid metabolism'];Tyrosine, Tryptophan, and Phenylalanine metabolism;;
43;36AHDGALC;3,6-anhydro-L-galactonate cycloisomerase;;RXN-15893;;;;;
44;38BIFLAVS;3,8'-biflaviolin synthase;R08913;RXN-9933;;;;;
45;38DPCLOR;3,8-divinyl-protochlorophyllide oxidoreductase;R06286;RXN-5285;;;;;
46;3AIBUTS;"3-amino-isobutyrate synthase;beta-ureidopropionase;3-ureido-isobutyrate amidohydrolase";;RXN-11210;;;;;
47;3CLBZADH;3-chlorobenzyl alcohol dehydrogenase;;RXN-9909;;;;;
48;3CLBZDH;3-chlorobenzaldehyde dehydrogenase;;RXN-9910;;;;;
49;3CTHPPT;R03316;R03316;;Citrate cycle (TCA cycle);Carbohydrate metabolism;Citric Acid Cycle;;
50;3DM4HXPPO;3-dimethylallyl-4-hydroxyphenylpyruvate oxygenase;;RXN-14671;;;;;
51;3DMA4HMO;3-dimethylallyl-4-hydroxymandelate oxygenase;;RXN-14670;;;;;
52;3HAD100;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C10:0);R04535;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
53;3HAD110;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
54;3HAD120;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:0);R04965;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
55;3HAD121;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C12:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
56;3HAD130;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
57;3HAD140;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:0);R04568;RXN-9537;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
58;3HAD141;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C14:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
59;3HAD150;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
60;3HAD160;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:0);R04544;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
61;3HAD161;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C16:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
62;3HAD170;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
63;3HAD180;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:0);R07764;;['Fatty acid biosynthesis', 'Biosynthesis of unsaturated fatty acids'];Lipid metabolism;Cell Envelope Biosynthesis;;
64;3HAD181;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C18:1);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
65;3HAD40;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C4:0);R04428;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
66;3HAD50;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C5:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
67;3HAD60;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C6:0);R04954;;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
68;3HAD70;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
69;3HAD80;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C8:0);R04537;4.2.1.59-RXN;Fatty acid biosynthesis;Lipid metabolism;Cell Envelope Biosynthesis;;
70;3HAD90;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (n-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
71;3HADai110;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
72;3HADai130;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
73;3HADai150;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
74;3HADai170;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
75;3HADai70;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
76;3HADai90;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (ante-iso-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
77;3HADi100;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C10:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
78;3HADi110;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C11:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
79;3HADi120;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C12:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
80;3HADi130;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C13:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
81;3HADi140;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C14:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
82;3HADi150;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C15:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
83;3HADi160;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C16:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
84;3HADi170;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C17:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
85;3HADi180;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C18:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
86;3HADi60;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C6:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
87;3HADi70;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C7:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
88;3HADi80;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C8:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
89;3HADi90;3-hydroxyacyl-[acyl-carrier-protein] dehydratase (iso-C9:0);;;;Lipid metabolism;Cell Envelope Biosynthesis;;
90;3HBCOADH;"3-hydroxybutyryl-CoA dehydrogenase;acetoacetyl-CoA reductase";R01977;RXN-5901;;;;;
