RxnID,Gene association,Rxn_Formula,Reversibility,lb,ub
ACTdiff,G_SCO3190 ,act[c  <=>  act[e] ,true,-1000,1000
FEt,G_SCO2539,fe2[e] + gtp[c] + h2o[c]  -> fe2[c] + gdp[c] + pi[c]  + h[c],false,0,1000
FeHemu,G_SCO2276,hemeO[c] + ATP[c] + h20[c] + fe2[e]  ->  hemeA[c] + adp[c] + pi[c] + fe2[c],false,0,1000
FEt,G_SCO2277 and G_SCO3963,fe2[e]  ->  fe2[c],false,0,1000
NH4t2,G_SCO5583 or G_SCO3085 ,nh4[e] <=> nh4[c],true,-1000,1000
AMEt,G_SCO4104 or G_SCO5481,amet[c] + ca2[e]  + h2o[c] + atp[c]  ->  amet[c] + ca2[c] + adp[c] + pi[c] + h[c],false,0,1000
COBALTabc,G_SCO0245 and G_SCO2499 and ( G_SCO0210 or G_SCO5154 or G_SCO7540 or G_SCO0246 or G_SCO1435 or G_SCO1436 or G_SCO3764 or G_SCO1251 or G_SCO2534 or G_SCO3765 ),cobalt2[e] + atp[c] + h2o[c] -> cobalt2[c] + adp[c] + pi[c] + h[c],false,0,1000
CHLNAt1,G_SCO6990,na1[e] + chol[e]  -> na1[c] + chol[c] ,false,0,1000
BIOt,G_SCO2630,h2o[c] + atp[c] + btn[e]  ->  h[c] + adp[c] + pi[c] + btn[c] ,false,0,1000
CITHt,G_SCO1710,h[e] + cit[e]  ->  h[c] + cit[c] ,false,0,1000
UACGApts,G_SCO1128,uacgam[e] + pep[c]  ->  uacgam6p[c] + pyr[c],false,0,1000
THMPPt,G_SCO1359 or G_SCO1362 or G_SCO1363 or G_SCO1588 or G_SCO1704 ,thmpp[e] <=> thmpp[c],true,-1000,1000
LCTSt,G_SCO4329 and G_SCO4446 and G_SCO4451 and G_SCO4641 ,h[e] +  lcts[e]  ->  h[c] +  lcts[c] ,false,0,1000
THMmfs,G_SCO6384,thm[e] + h[e]  <=>  thm[c] + h[c],true,-1000,1000
RAFFINabc ,G_SCO0290  and G_SCO7165,h2o[c] + atp[c] + raffin[e]  ->  h[c] + raffin[c] + adp[c] + pi[c],false,0,1000
MELTabc,G_SCO0290 and G_SCO7165,h2o[c] + atp[c] + melib[e]  ->  h[c] + melib[c] + adp[c] + pi[c] ,false,0,1000
LPROCabc,G_SCO037or  G_SCO0374  or G_SCO1367 or G_SCO2674 or G_SCO3752  or G_SCO5035 or G_SCO5453 or G_SCO5479 or G_SCO5654  and  G_SCO4884,lproc + h2o[c] + atp[c]  ->  lproc + h[c] + adp[c] + pi[c],false,0,1000
GTHOC_abc,G_SCO1344 or G_SCO1655 or G_SCO6644 or G_SCO7563 ,gthox[e] + h2o[c] + atp[c]  ->  gthox[c] + h[c] + adp[c] + pi[c],false,0,1000
MELIBabc,G_SCO1707, h2o[c] + atp[c] + melib[e]  -> h[c] + melib[c] + adp[c] + pi[c] ,false,0,1000
HEMabc,G_SCO1840 or G_SCO6047 or G_SCO2677 or G_SCO6512 or G_SCO6742 or G_SCO5009,hemeO[e] + h2o[c] + atp[c] -> hemeO[c] + adp[c] + h[c] + pi[c],false,0,1000
SUFBCDabc,G_SCO1922 or G_SCO1924 or G_SCO1925 ,sufbcd_2fe2s2[e] + atp[c] + h20[c]  ->  sufbcd_2fe2s2[c] + adp[c] + h[c] + pi[c],false,0,1000
SUFBCD4abc,G_SCO1922 or G_SCO1924 or G_SCO1925 ,sufbcd_4fe4s[e] + atp[c] + h2o[c] -> sufbcd_4fe4s[c]+ + adp[c] + h[c] + pi[c],false,0,1000
COBALTabc,(G_SCO2324 or G_SCO5958 or G_SCO5959 or G_SCO5960 or G_SCO6720 ) and G_SCO2323 and G_SCO2325,cobalt2[e] + atp[c] + h2o[c]  ->  cobalt2[c] + adp[c] + h[c] + pi[c],false,0,1000
ACTeabc,G_SCO0636 or G_SCO2463 or G_SCO2763  or G_SCO6683 or G_SCO6684 or G_SCO6295,act[c] + h2o[c] + atp[c]  ->  act[e] + adp[c] + h[c] + pi[c],false,0,1000
LEUabc,G_SCO7606,leu__L[e] + h2o[c] + atp[c]  ->  leu__L[c] + adp[c] + h[c] + pi[c],false,0,1000
HEMeabc,G_SCO4475,h2o[c] + atp[c]  + ficytc[c]  -> h[c] +  ficytc[e] +  adp[c] +  pi[c],false,0,1000
SERabc,G_SCO5598,ser__L[e]  +  h2o[c] + atp[c]  ->  ser__L[c]  +  adp[c]  +  h[c]  + pi[c],false,0,1000
