iMK1208 ID;iKS1317;Sco4;iAA1259
ACTS1;Identical;Identical;Identical
ACTS10;Identical;Identical;Identical
ACTS11;Identical;Identical;Identical
ACTS12;Identical;Identical;Identical
ACTS13;Unequal metabolites;Identical;Identical
ACTS14;Identical;Identical;Identical
ACTS15;Identical;Identical;Identical
ACTS16;Identical;Identical;Unequal genes
ACTS17;Missing;Identical;Identical
ACTS18;Missing;Identical;Identical
ACTS19;Identical;Identical;Identical
ACTS2;Identical;Identical;Identical
ACTS3;Identical;Identical;Identical
ACTS4;Identical;Identical;Identical
ACTS5;Identical;Identical;Identical
ACTS6;Identical;Identical;Identical
ACTS7;Identical;Identical;Identical
ACTS8;Identical;Identical;Identical
ACTS9;Identical;Identical;Identical
ALAD_L;Identical;Identical;Identical
ALAR;Identical;Identical;Identical
ALATA_L;Identical;Identical;Identical
APAT2r;Unequal genes and metabolites;Identical;Identical
ASNN;Identical;Identical;Identical
ASNS1;Identical;Identical;Identical
ASPO1;Identical;Identical;Identical
ASPTA;Identical;Identical;Identical
3OXCOAT;Identical;Identical;Identical
5DGLCNR;Identical;Identical;Identical
6PHBG;Identical;Identical;Identical
AAMYLe;Identical;Identical;Identical
ACM6PH;Identical;Identical;Identical
ACS2;Unequal genes;Identical;Identical
ADNUC;Identical;Identical;Identical
AGDC;Identical;Identical;Identical
ALCD19;Identical;Identical;Identical
ALCD19y;Identical;Identical;Identical
ALDD1;Identical;Identical;Identical
ALDD19x;Identical;Identical;Identical
ALDD2x;Identical;Identical;Identical
ALLTAMH;Unequal genes and metabolites;Identical;Identical
AMALT1;Identical;Identical;Identical
AMALT2;Identical;Identical;Identical
AMALT3;Identical;Identical;Identical
AMALT4;Identical;Identical;Identical
ARAI;Identical;Identical;Identical
BGLU;Identical;Identical;Identical
CYTDH;Identical;Identical;Identical
DABTD;Identical;Unequal genes;Unequal genes
DCH;Unequal genes;Identical;Identical
DDGLK;Unequal genes;Identical;Identical
DHACOAH;Identical;Identical;Identical
DHAK;Identical;Identical;Identical
DHDGLCD;Identical;Identical;Identical
DRBK;Identical;Identical;Identical
DRPA;Identical;Identical;Identical
DTARTD;Identical;Identical;Identical
EPMGH;Unequal genes;Identical;Identical
FDH;Identical;Identical;Identical
FORCT;Identical;Identical;Identical
FRUK;Identical;Identical;Identical
G3PD2;Identical;Identical;Identical
G6PDA;Identical;Identical;Identical
GAL6PI;Identical;Identical;Identical
GALCTND;Identical;Identical;Identical
GALIGH;Unequal genes;Identical;Identical
GALKr;Missing;Identical;Identical
GALS3;Unequal genes;Identical;Unequal genes
GGLGH;Unequal genes;Identical;Identical
GLCATr;Identical;Identical;Identical
GLCRAL;Identical;Identical;Identical
GLCRD;Unequal genes;Identical;Identical
GLYALDDr;Unequal metabolites;Identical;Identical
GLYCDx;Identical;Identical;Identical
GLYCTO1;Identical;Identical;Identical
