EX_Rxn_ID,EX_Rxn_Formula,EX_Rxn_Lower_Bouns,EX_Rxn_Upper_Bound
EX_phis,phis_L_e[e]->,0,1000
EX_asc6p,asc6p_e[e]->,0,1000
EX_Tel,Tel_e[e]->,0,1000
EX_Ccbuttc,CCbuttc_e[e]->,0,1000
EX_fb,fb_e[e] <=>,-1000,1000
EX_fus, fus_c[e]->,0,1000
EX_indig,indig_e[e]->,0,1000
EX_TPP,TPP_e[e]->,0,1000
EX_prn,prn_e[e]->,0,1000
EX_memy,memy_e[e]->,0,1000
EX_cy,cy_e[c] ->,0,1000
EX_entbactin,entbactin_e[e] <=>,-1000,1000
EX_oxoformate,oxoformate_e[e]->,0,1000
EX_catechol,catechol_e[e]->,0,1000
EX_tel,tel_e[e]->,0,1000
EX_deunorubicin,deunorubicin_e[e] ->,0,1000
EX_rmn,rmn_e[e]->,0,1000
EX_drub,drub_e[e]->,0,1000
EX_glucs,glucs_e[e]->,0,1000
EX_phos, phos_e[e]->,0,1000
EX_fentero,fentero_e[e]->,0,1000
EX_cobal,cobal_e[e] ->,0,1000
EX_omycin,omycin_e[e]->,0,1000
EX_tol,tol_e[e]->,0,1000
EX_xylb,xylb_e[e]->,0,1000
EX_aso3,aso3_e[e]->,0,1000
