Metabolite name;Metabolite description;Neutral metabolite formula;Metabolite Compartment
2o3pop3odn[c];2-oxo-3-(phosphonooxy)propyl 3-oxodecanoate;C13H23O8P;Cytosol
2o3popp8m3odn[c];2-oxo-3-(phosphonooxy)propyl 8-methyl-3-oxodecanoate;C14H25O8P;Cytosol
2o3pp8m3onn[c];2-oxo-3-(phosphonooxy)propyl 8-methyl-3-oxononanoate;C13H23O8P;Cytosol
3cvobz[c];3-[(1-Carboxyvinyl)oxy]benzoate;C10H6O5;Cytosol
465mo5othf3mdhp[c];(3S,4S)-4-(6-methyloctanoyl)-5-oxotetrahydrofuran-3-yl)methyl dihydrogen phosphate;C14H25O7P;Cytosol
46mo5o25dhf3mdhp[c];(4-(6-methyloctanoyl)-5-oxo-2,5-dihydrofuran-3-yl)methyl dihydrogen phosphate;C14H23O7P;Cytosol
4hm36modhf2o[c];(3S,4R)-4-(hydroxymethyl)-3-(6-methyloctanoyl)dihydrofuran-2(3H)-one;C14H24O4;Cytosol
4hm3odhf2o[c];(3S,4R)-4-(hydroxymethyl)-3-octanoyldihydrofuran-2(3H)-one;C13H22O4;Cytosol
4o5odhmdhp[c];(4-octanoyl-5-oxo-2,5-dihydrofuran-3-yl)methyl dihydrogen phosphate;C13H21O7P;Cytosol
4o5othf3mdp[c];((3S,4S)-4-octanoyl-5-oxotetrahydrofuran-3-yl)methyl dihydrogen phosphate;C13H23O7P;Cytosol
6adxfut[c];6-Amino-6-deoxyfutalosine;C19H19N5O6;Cytosol
accys[c];N-Acetyl-L-Cysteine;C5H9NO3S;Cytosol
accys[e];N-Acetyl-L-Cysteine;C5H9NO3S;Extra-organism
ACPcpk[c];Acyl carrier protein (specific to actinorhodin coelimycin);C11H22N2O7PRS;Cytosol
add26810t5o[c];1-Aminododeca-2,6,8,10-tetraen-5-ol;C12H19NO;Cytosol
afactor[c];A-factor: (4R)-4-(hydroxymethyl)-3-(6-methylheptanoyl)oxolan-2-one;C13H22O4;Cytosol
apoACPcpk[c];apoprotein [acyl carrier protein] (cpk);RHO;Cytosol
cdhxfut[c];Cyclic dehypoxanthine futalosine;C14H14O7;Cytosol
cellul[e];Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587;C3000H5002O2501;Extra-organism
chitin[e];Chitin monomer;C8H13NO5;Extra-organism
cpkepox[c];6-(3'-(prop-1-en-1-yl)-[2,2'-bioxiran]-3-yl)-2,3-dihydropyridine;C12H15NO2;Cytosol
cpkepox[e];6-(3'-(prop-1-en-1-yl)-[2,2'-bioxiran]-3-yl)-2,3-dihydropyridine;C12H15NO2;Extra-organism
h246dectACPcpk[c];3-Hydroxy-2,4,6-Decatetraenoyl-[acyl-carrier protein];C21H34N2O9PRS;Cytosol
hdd2610t[c];5-Hydroxydodeca-2,6,8,10-tetraenal;C12H16O2;Cytosol
hex24dACPcpk[c];2,4-Hexadienoyl-ACP (n-C6:2ACP);C17H30N2O8PRS;Cytosol
mh5odhfmdp[c];(4-(6-methylheptanoyl)-5-oxo-2,5-dihydrofuran-3-yl)methyl dihydrogen phosphate;C13H21O7P;Cytosol
mh5othfmdp[c];((3S,4S)-4-(6-methylheptanoyl)-5-oxotetrahydrofuran-3-yl)methyl dihydrogen phosphate;C13H23O7P;Cytosol
scb1[c];SCB1: (3S,4R)-3-((R)-1-hydroxy-6-methylheptyl)-4-(hydroxymethyl)dihydrofuran-2(3H)-one;C13H24O4;Cytosol
scb1[e];SCB1: (3S,4R)-3-((R)-1-hydroxy-6-methylheptyl)-4-(hydroxymethyl)dihydrofuran-2(3H)-one ;C13H24O4;Extra-organism
scb2[c];SCB2: (3S,4R)-4-(hydroxymethyl)-3-((R)-1-hydroxyoctyl)dihydrofuran-2(3H)-one;C13H24O4;Cytosol
scb2[e];SCB2: (3S,4R)-4-(hydroxymethyl)-3-((R)-1-hydroxyoctyl)dihydrofuran-2(3H)-one;C13H24O5;Extra-organism
scb3[c];SCB3: (3S,4R)-3-((1R)-1-hydroxy-6-methyloctyl)-4-(hydroxymethyl)dihydrofuran-2(3H)-one;C14H26O4;Cytosol
scb3[e];SCB3:(3S,4R)-3-((1R)-1-hydroxy-6-methyloctyl)-4-(hydroxymethyl)dihydrofuran-2(3H)-one;C14H26O4;Extra-organism
xylan[e];Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D;C2640H4226O2113;Extra-organism
