"Rxn","Rxn Name","Rxn KEGG ID","Reversibility in model","Reversibility in MetaCyc"
"ACTS1","Malonyl-CoA-ACP transacylase (actinorhodin ACP)","R01626","reversible"," "
"ACTS10","actIII ketoacyl reductase","R09262","forward only"," "
"ACTS11","actVII aromatase","R09265","forward only"," "
"ACTS12","actIV cyclase","R09305","forward only"," "
"ACTS13","hydroxylacyl-CoA dehydrogenase","R09306","forward only"," "
"ACTS14","actVI dehydratase","R09308","forward only","Irreversible "
"ACTS15","actVI oxidoreductase","R06695","forward only"," "
"ACTS16","actVA-5/actVB monooxygenase","R06696","forward only","Irreversible "
"ACTS2","polyketide chain elongation 1","R10707","forward only"," "
"ACTS3","polyketide chain elongation 2","","forward only",""
"ACTS4","polyketide chain elongation 3","","forward only",""
"ACTS5","polyketide chain elongation 4","","forward only",""
"ACTS6","polyketide chain elongation 5","","forward only",""
"ACTS7","polyketide chain elongation 6","","forward only",""
"ACTS8","polyketide chain elongation 7","","forward only",""
"ACTS9","actI cyclase","R09259","forward only"," "
"ALAD_L","L-alanine dehydrogenase","R00396","forward only","Irreversible "
"ALAR","alanine racemase","R00401","reversible","Reversible"
"ALATA_L","L-alanine transaminase","R00258","reversible","Reversible"
"APAT2r","3-Aminopropanoate:2-oxoglutarate aminotransferase","R00908","reversible","Reversible"
"ASNN","L-asparaginase","R00485","forward only","Irreversible "
"ASNS1","asparagine synthase (glutamine-hydrolysing)","R00578","forward only","Irreversible "
"ASPO1","L-aspartate oxidase","R00357","forward only","Irreversible "
"ASPTA","aspartate transaminase","R00355","reversible","Reversible"
"3OXCOAT","3-oxoadipyl-CoA thiolase","R00829","forward only","Irreversible "
"5DGLCNR","5-dehydro-D-gluconate reductase","R01740","reversible","Reversible"
"6PHBG","6-phospho-beta-glucosidase","","forward only",""
"AAMYLe","alpha-amylase","","forward only",""
"ACM6PH","N-acetylmuramate 6-phosphate hydrolase","R08555","forward only","Reversible"
"ACS2","acetyl-CoA synthase (propionate)","R00925","forward only","Irreversible "
"ADNUC","adenosine hydrolase","R01245","forward only","Irreversible "
"AGDC","N-acetylglucosamine-6-phosphate deacetylase","R02059","forward only","Irreversible "
"ALCD19","alcohol dehydrogenase (glycerol)","R01036","reversible","Irreversible "
"ALCD19y","alcohol dehydrogenase (glycerol, NADP)","R01041","reversible"," "
"ALDD1","aldehyde dehydrogenase (formaldehyde, NAD)","R00604","forward only","Irreversible "
"ALDD19xr","aldehyde dehydrogenase (phenylacetaldehyde, NAD)","R02536","forward only","Reversible"
"ALDD2x","aldehyde dehydrogenase (acetaldehyde, NAD)","R00710","forward only","Irreversible "
"ALLTAMH2","allantoate amidohydrolase","R02423","forward only","Irreversible "
"AMALT1","Amylomaltase (maltotriose)","","forward only",""
"AMALT2","Amylomaltase (maltotetraose)","","forward only",""
"AMALT3","Amylomaltase (maltopentaose)","","forward only",""
"AMALT4","Amylomaltase (maltohexaose)","","forward only",""
"ARAI","L-arabinose isomerase","R01761","reversible"," "
"BGLA","b-glucosidase (cellobiose)","R00306","forward only"," "
"CYTDH","Cytidine hydrolase","R02137","forward only","Irreversible "
"ABTDG","D-arabinitol 4-dehydrogenase (NAD)","R05604","forward only","Irreversible "
"DCH","diacetylchitobiose hydrolase","R00022","forward only","Irreversible "
"DDGLK","2-dehydro-3-deoxygluconokinase","R01541","forward only","Irreversible "
"DHACOAH","2,3-dehydroadipyl-CoA hydratase","R06942","reversible","Reversible"
"DHAK","dihydroxyacetone kinase","R01011","forward only","Irreversible "
"D4DGCD","5-dehydro-4-deoxyglucarate dehydratase","R02279","forward only","Irreversible "
"DRBK","Deoxyribokinase","R02750","forward only","Irreversible "
"DRPA","deoxyribose-phosphate aldolase","R01066","forward only","Reversible"
"DTARTD","D(-)-tartrate dehydratase","R00340","forward only","Irreversible "
"EPMGH","epimelibiose galactohydrolase","R01329","forward only"," "
"FDH","formate dehydrogenase","R00519","forward only","Reversible"
"FORCT","Formyl-CoA Transferase","R07290","reversible","Reversible"
"FRUK","fructose-1-phosphate kinase","","forward only",""
"G3PD2","glycerol-3-phosphate dehydrogenase (NADP)","R00844","reversible","Irreversible "
"G6PDA","glucosamine-6-phosphate deaminase","R00765","forward only","Reversible"
"GAL6PI","galactose-6-phosphate isomerase","R03240","reversible","Reversible"
"GALCTND","galactonate dehydratase","R03033","forward only","Irreversible "
